strategy,seat,games,wins,win_rate,avg_vp
full_ows,1,50,25,0.5,8.06
full_ows,2,50,17,0.34,7.76
full_ows,3,50,10,0.2,6.88
full_ows,4,50,8,0.16,7.42
hybrid_ows,1,50,22,0.44,8.08
hybrid_ows,2,50,11,0.22,6.6
hybrid_ows,3,50,11,0.22,7.08
hybrid_ows,4,50,11,0.22,6.9
road_building,1,50,9,0.18,5.56
road_building,2,50,7,0.14,5.9
road_building,3,50,5,0.1,5.88
road_building,4,50,9,0.18,5.3
roads_and_cities,1,50,19,0.38,7.72
roads_and_cities,2,50,18,0.36,7.5
roads_and_cities,3,50,13,0.26,6.56
roads_and_cities,4,50,13,0.26,6.7
five_resource,1,50,13,0.26,6.78
five_resource,2,50,10,0.2,6
five_resource,3,50,8,0.16,5.92
five_resource,4,50,8,0.16,5.92
port,1,50,17,0.34,6.82
port,2,50,12,0.24,6.36
port,3,50,15,0.3,6.36
port,4,50,9,0.18,5.78
