seed,seat,won_adaptive,won_search,won_diff,final_vp_adaptive,final_vp_search,final_vp_diff,roads_adaptive,roads_search,roads_diff,settlements_adaptive,settlements_search,settlements_diff,cities_adaptive,cities_search,cities_diff,dev_cards_adaptive,dev_cards_search,dev_cards_diff,has_longest_road_adaptive,has_longest_road_search,has_longest_road_diff,has_largest_army_adaptive,has_largest_army_search,has_largest_army_diff,runtime_seconds_adaptive,runtime_seconds_search,runtime_seconds_diff
0,0,0,0,0,5,4,-1,13,6,-7,1,4,3,2,0,-2,1,4,3,0,0,0,0,0,0,1.5660053323954344,1.4929198753088713,-0.07308545708656311
1,1,1,0,-1,10,8,-2,13,8,-5,4,2,-2,2,3,1,5,4,-1,0,0,0,0,0,0,1.8335287496447563,2.161639374680817,0.3281106250360608
2,2,1,1,0,10,10,0,15,8,-7,3,5,2,2,1,-1,5,1,-4,1,1,0,0,0,0,1.7746448749676347,1.1107552917674184,-0.6638895832002163
3,3,0,0,0,4,9,5,9,12,3,4,5,1,0,0,0,4,3,-1,0,1,1,0,0,0,1.5626164572313428,2.0953212501481175,0.5327047929167747
4,0,0,1,1,5,10,5,15,7,-8,4,3,-1,0,3,3,5,2,-3,0,0,0,0,0,0,1.567865458317101,1.5333709996193647,-0.03449445869773626
5,1,0,0,0,7,9,2,13,13,0,5,5,0,0,2,2,5,3,-2,1,0,-1,0,0,0,1.5899061253294349,3.2822554167360067,1.6923492914065719
6,2,1,0,-1,10,8,-2,11,11,0,4,3,-1,2,2,0,0,3,3,1,0,-1,0,0,0,2.1428242092952132,1.8698777919635177,-0.27294641733169556
7,3,0,1,1,7,10,3,13,8,-5,4,3,-1,1,2,1,3,2,-1,0,1,1,0,0,0,2.061374582350254,2.433187749236822,0.37181316688656807
8,0,0,1,1,4,10,6,10,9,-1,3,2,-1,0,4,4,2,1,-1,0,0,0,0,0,0,1.0741400830447674,1.8384092906489968,0.7642692076042295
9,1,0,0,0,5,9,4,13,9,-4,3,3,0,1,3,2,4,6,2,0,0,0,0,0,0,1.8159219175577164,2.4613642087206244,0.6454422911629081
10,2,0,1,1,6,10,4,8,8,0,3,2,-1,1,4,3,4,1,-3,0,0,0,0,0,0,1.3542095832526684,1.8729360830038786,0.5187264997512102
11,3,0,1,1,6,10,4,15,14,-1,5,4,-1,0,2,2,3,3,0,0,1,1,0,0,0,1.9375614998862147,3.213067582808435,1.2755060829222202
12,0,0,1,1,4,10,6,10,6,-4,3,1,-2,0,4,4,4,6,2,0,0,0,0,0,0,1.0536778336390853,2.5321373753249645,1.4784595416858792
13,1,1,1,0,10,10,0,15,12,-3,1,5,4,3,1,-2,2,4,2,1,1,0,0,0,0,1.7731997910887003,1.9176197089254856,0.14441991783678532
14,2,0,1,1,6,10,4,15,10,-5,4,5,1,1,1,0,3,7,4,0,0,0,0,0,0,1.3852731250226498,2.172435916028917,0.7871627910062671
