variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
adaptive,0,0,0,5,13,1,2,1,0,0,1.5660053323954344
search,0,0,0,4,6,4,0,4,0,0,1.4929198753088713
adaptive,1,1,1,10,13,4,2,5,0,0,1.8335287496447563
search,1,1,0,8,8,2,3,4,0,0,2.161639374680817
adaptive,2,2,1,10,15,3,2,5,1,0,1.7746448749676347
search,2,2,1,10,8,5,1,1,1,0,1.1107552917674184
adaptive,3,3,0,4,9,4,0,4,0,0,1.5626164572313428
search,3,3,0,9,12,5,0,3,1,0,2.0953212501481175
adaptive,4,0,0,5,15,4,0,5,0,0,1.567865458317101
search,4,0,1,10,7,3,3,2,0,0,1.5333709996193647
adaptive,5,1,0,7,13,5,0,5,1,0,1.5899061253294349
search,5,1,0,9,13,5,2,3,0,0,3.2822554167360067
adaptive,6,2,1,10,11,4,2,0,1,0,2.1428242092952132
search,6,2,0,8,11,3,2,3,0,0,1.8698777919635177
adaptive,7,3,0,7,13,4,1,3,0,0,2.061374582350254
search,7,3,1,10,8,3,2,2,1,0,2.433187749236822
adaptive,8,0,0,4,10,3,0,2,0,0,1.0741400830447674
search,8,0,1,10,9,2,4,1,0,0,1.8384092906489968
adaptive,9,1,0,5,13,3,1,4,0,0,1.8159219175577164
search,9,1,0,9,9,3,3,6,0,0,2.4613642087206244
adaptive,10,2,0,6,8,3,1,4,0,0,1.3542095832526684
search,10,2,1,10,8,2,4,1,0,0,1.8729360830038786
adaptive,11,3,0,6,15,5,0,3,0,0,1.9375614998862147
search,11,3,1,10,14,4,2,3,1,0,3.213067582808435
adaptive,12,0,0,4,10,3,0,4,0,0,1.0536778336390853
search,12,0,1,10,6,1,4,6,0,0,2.5321373753249645
adaptive,13,1,1,10,15,1,3,2,1,0,1.7731997910887003
search,13,1,1,10,12,5,1,4,1,0,1.9176197089254856
adaptive,14,2,0,6,15,4,1,3,0,0,1.3852731250226498
search,14,2,1,10,10,5,1,7,0,0,2.172435916028917
adaptive,15,3,0,6,12,2,2,3,0,0,2.2857130840420723
search,15,3,1,10,9,3,3,2,0,0,1.7235980834811926
adaptive,16,0,0,9,15,1,4,0,0,0,2.1122061675414443
search,16,0,1,10,8,3,3,3,0,0,1.949122916907072
adaptive,17,1,0,2,14,2,0,1,0,0,1.105258415453136
search,17,1,1,10,13,5,1,2,1,0,2.5607772916555405
adaptive,18,2,0,3,13,3,0,3,0,0,1.4024345837533474
search,18,2,0,4,10,4,0,3,0,0,1.8720835000276566
adaptive,19,3,0,7,13,4,1,7,0,0,1.877766165882349
search,19,3,1,10,10,4,2,7,0,0,2.1295707495883107
adaptive,20,0,0,7,12,1,2,2,1,0,1.7057203752920032
search,20,0,0,9,6,1,4,3,0,0,2.937310041859746
adaptive,21,1,0,9,8,2,2,6,0,0,1.923573917709291
search,21,1,1,10,7,2,4,6,0,0,2.5335953757166862
adaptive,22,2,0,5,15,5,0,4,0,0,1.9634550418704748
search,22,2,0,8,15,4,1,5,1,0,3.3115524584427476
adaptive,23,3,0,3,14,3,0,3,0,0,1.6665260419249535
search,23,3,0,5,3,2,1,3,0,0,1.023170417174697
adaptive,24,0,0,8,13,5,0,3,1,0,1.6829928327351809
search,24,0,0,5,8,5,0,2,0,0,1.286860667169094
adaptive,25,1,1,10,15,0,4,1,1,0,1.894005000591278
search,25,1,0,9,15,5,1,1,1,0,3.2225066674873233
adaptive,26,2,1,10,7,1,3,2,1,0,1.2576523330062628
search,26,2,0,7,7,2,2,3,0,0,1.4524410413578153
adaptive,27,3,0,7,15,4,0,5,1,0,1.7694997508078814
search,27,3,1,10,11,2,4,5,0,0,3.054301374591887
adaptive,28,0,0,5,11,4,0,4,0,0,1.5589738339185715
search,28,0,1,10,9,4,2,5,0,0,2.1758119175210595
adaptive,29,1,0,7,15,5,0,4,1,0,1.8527155416086316
search,29,1,1,10,12,4,2,2,1,0,2.4810567498207092
adaptive,30,2,0,6,8,1,2,3,0,0,1.6626594169065356
search,30,2,0,9,7,2,3,4,0,0,2.113503832370043
adaptive,31,3,0,3,13,3,0,2,0,0,1.2288196245208383
search,31,3,0,7,4,1,3,4,0,0,1.666733750142157
adaptive,32,0,1,10,13,4,1,4,1,0,1.5220747077837586
search,32,0,0,6,6,3,1,5,0,0,1.4446067502722144
adaptive,33,1,0,9,7,0,4,1,0,0,2.0375833744183183
search,33,1,1,10,9,3,3,3,0,0,1.8630247907713056
adaptive,34,2,0,7,5,1,2,4,0,0,1.797432541847229
search,34,2,0,6,6,0,3,1,0,0,1.4383025830611587
adaptive,35,3,0,5,15,5,0,3,0,0,1.778789292089641
search,35,3,1,10,9,3,3,4,0,0,2.4972554175183177
adaptive,36,0,0,8,15,3,2,2,0,0,2.2099916664883494
search,36,0,1,10,10,5,1,7,0,0,1.8856189167127013
adaptive,37,1,0,7,12,1,3,1,0,0,1.7273610001429915
search,37,1,1,10,12,4,2,1,1,0,2.8385314159095287
adaptive,38,2,0,7,9,5,0,2,1,0,1.5097694573923945
search,38,2,0,5,11,5,0,3,0,0,2.1932205837219954
adaptive,39,3,0,5,14,4,0,2,0,0,1.628192875534296
search,39,3,0,5,7,5,0,3,0,0,1.6269038347527385
adaptive,40,0,0,9,15,1,3,4,1,0,1.4025642909109592
search,40,0,1,10,7,0,3,5,1,0,1.233764249831438
adaptive,41,1,0,6,15,5,0,7,0,0,1.7523051658645272
search,41,1,1,10,7,4,2,6,0,0,1.9277532082051039
adaptive,42,2,1,10,13,2,1,5,1,0,1.7465628748759627
search,42,2,1,10,8,5,0,5,1,0,1.071461332961917
adaptive,43,3,0,7,15,5,1,4,0,0,1.6542398752644658
search,43,3,1,10,10,5,2,5,0,0,1.915992041118443
adaptive,44,0,1,10,14,3,2,3,1,0,1.2600250830873847
search,44,0,1,10,8,0,4,5,0,0,1.7251538326963782
adaptive,45,1,0,5,14,4,0,4,0,0,1.7440714174881577
search,45,1,1,10,12,5,1,5,1,0,1.7321866257116199
adaptive,46,2,1,10,15,4,2,5,0,0,2.0097944997251034
