matchup,variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,largest_army_rate
full_road_port,baseline,400,0.24,6.98,11.1025,2.02,1.7225,4.5425,0.1975,0.0
full_road_port,lookahead,400,0.38,8.0125,6.5675,1.9,2.1025,2.285,0.09,0.0
hybrid_full_port,baseline,400,0.26,7.18,12.34,2.6175,1.4225,3.2525,0.3875,0.0
hybrid_full_port,lookahead,400,0.32,7.8225,8.635,3.135,1.4575,1.46,0.24,0.0
hybrid_road_roadscity,baseline,400,0.1575,6.5975,10.975,2.33,1.38,4.335,0.2075,0.0
hybrid_road_roadscity,lookahead,400,0.355,7.8125,6.57,2.17,1.835,2.2525,0.1075,0.0
road_roadscity_port,baseline,400,0.2975,7.3775,11.7575,1.9325,1.8275,5.435,0.2125,0.0
road_roadscity_port,lookahead,400,0.4375,8.265,6.93,1.77,2.265,2.6025,0.095,0.0
roadscity_port_hybrid,baseline,400,0.1975,6.74,12.0325,2.49,1.3775,3.7875,0.275,0.0
roadscity_port_hybrid,lookahead,400,0.3575,7.8275,7.5925,2.6325,1.655,1.905,0.16,0.0
