variant,repetition,seat,seed,won,final_vp,turns_played,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army
baseline,0,0,20260826,0,4,107,14,2,0,1,1,0
lookahead,0,0,20260826,0,5,122,13,5,0,2,0,0
baseline,0,1,20260827,0,4,65,5,2,1,5,0,0
lookahead,0,1,20260827,1,10,82,12,5,1,6,1,0
baseline,0,2,20260828,0,4,122,12,4,0,2,0,0
lookahead,0,2,20260828,0,7,125,13,5,0,2,1,0
baseline,0,3,20260829,0,4,129,12,3,0,3,0,0
lookahead,0,3,20260829,0,5,133,7,5,0,0,0,0
baseline,1,0,20260830,0,4,88,9,3,0,4,0,0
lookahead,1,0,20260830,0,7,104,7,4,1,5,0,0
baseline,1,1,20260831,0,7,77,8,3,1,1,1,0
lookahead,1,1,20260831,0,5,77,7,3,1,0,0,0
baseline,1,2,20260832,0,2,117,10,2,0,4,0,0
lookahead,1,2,20260832,0,3,89,5,3,0,1,0,0
baseline,1,3,20260833,1,10,144,14,2,3,2,0,0
lookahead,1,3,20260833,1,10,100,10,4,2,5,0,0
baseline,2,0,20260834,0,6,99,13,5,0,2,0,0
lookahead,2,0,20260834,0,7,99,12,5,0,2,1,0
baseline,2,1,20260835,0,8,155,13,0,3,1,1,0
lookahead,2,1,20260835,0,6,151,12,0,3,0,0,0
baseline,2,2,20260836,0,5,96,9,4,0,2,0,0
lookahead,2,2,20260836,0,3,76,9,3,0,0,0,0
baseline,2,3,20260837,0,8,113,15,5,0,4,1,0
lookahead,2,3,20260837,0,8,145,14,4,2,2,0,0
baseline,3,0,20260838,0,9,146,15,2,2,5,1,0
lookahead,3,0,20260838,1,10,153,13,3,2,3,1,0
baseline,3,1,20260839,0,6,105,10,3,1,4,0,0
lookahead,3,1,20260839,0,7,109,10,1,2,0,1,0
baseline,3,2,20260840,1,10,143,11,2,3,4,1,0
lookahead,3,2,20260840,0,7,153,13,5,1,1,0,0
baseline,3,3,20260841,0,7,127,15,5,0,3,1,0
lookahead,3,3,20260841,0,9,94,11,5,1,1,1,0
baseline,4,0,20260842,0,7,132,13,0,3,4,0,0
lookahead,4,0,20260842,0,8,115,3,1,2,7,0,0
baseline,4,1,20260843,0,2,87,15,2,0,4,0,0
lookahead,4,1,20260843,0,7,119,15,5,0,5,1,0
baseline,4,2,20260844,1,10,135,15,0,4,1,1,0
lookahead,4,2,20260844,0,7,112,12,3,2,2,0,0
baseline,4,3,20260845,0,7,106,7,2,2,2,0,0
lookahead,4,3,20260845,0,5,78,7,2,1,2,0,0
baseline,5,0,20260846,1,10,93,15,4,2,1,1,0
lookahead,5,0,20260846,1,10,125,15,4,2,2,1,0
baseline,5,1,20260847,0,7,121,15,2,2,2,0,0
lookahead,5,1,20260847,0,4,129,12,4,0,2,0,0
baseline,5,2,20260848,0,6,125,15,4,0,4,1,0
lookahead,5,2,20260848,1,11,155,12,4,2,4,1,0
baseline,5,3,20260849,0,5,102,6,2,1,5,0,0
lookahead,5,3,20260849,0,6,122,6,5,0,4,0,0
baseline,6,0,20260850,0,4,96,8,3,0,7,0,0
lookahead,6,0,20260850,0,6,112,8,2,2,2,0,0
baseline,6,1,20260851,0,8,105,8,0,4,1,0,0
lookahead,6,1,20260851,0,6,87,6,3,1,2,0,0
baseline,6,2,20260852,0,3,140,9,2,0,5,0,0
lookahead,6,2,20260852,0,7,174,14,5,0,3,1,0
baseline,6,3,20260853,0,7,101,15,5,0,0,1,0
lookahead,6,3,20260853,1,10,140,15,2,3,0,1,0
baseline,7,0,20260854,1,10,121,12,1,3,5,1,0
lookahead,7,0,20260854,1,10,133,7,2,3,5,0,0
baseline,7,1,20260855,0,5,112,15,4,0,4,0,0
lookahead,7,1,20260855,0,9,116,8,3,2,5,0,0
baseline,7,2,20260856,0,7,86,10,5,0,3,1,0
lookahead,7,2,20260856,0,5,86,10,5,0,3,0,0
baseline,7,3,20260857,0,9,147,10,1,3,4,0,0
lookahead,7,3,20260857,0,4,106,6,3,0,2,0,0
baseline,8,0,20260858,0,5,106,11,2,1,4,0,0
lookahead,8,0,20260858,1,10,117,10,3,3,3,0,0
baseline,8,1,20260859,0,7,119,5,1,2,5,0,0
lookahead,8,1,20260859,0,5,95,5,5,0,3,0,0
baseline,8,2,20260860,0,5,82,5,1,2,3,0,0
lookahead,8,2,20260860,0,4,113,2,0,2,3,0,0
baseline,8,3,20260861,0,5,99,7,3,0,5,0,0
lookahead,8,3,20260861,0,7,119,4,3,1,5,0,0
baseline,9,0,20260862,1,10,129,15,3,2,4,1,0
lookahead,9,0,20260862,0,6,148,12,4,1,2,0,0
baseline,9,1,20260863,0,3,95,14,3,0,2,0,0
lookahead,9,1,20260863,0,6,99,6,2,2,2,0,0
baseline,9,2,20260864,0,8,129,15,5,0,3,1,0
lookahead,9,2,20260864,0,9,137,15,5,1,1,1,0
baseline,9,3,20260865,0,2,105,15,2,0,2,0,0
lookahead,9,3,20260865,0,6,186,15,5,0,1,0,0
baseline,10,0,20260866,0,9,151,15,5,2,1,0,0
lookahead,10,0,20260866,0,6,107,6,3,1,6,0,0
baseline,10,1,20260867,0,8,133,15,3,2,3,0,0
lookahead,10,1,20260867,0,5,117,11,5,0,3,0,0
baseline,10,2,20260868,0,6,140,9,0,3,4,0,0
lookahead,10,2,20260868,0,6,124,8,4,0,7,0,0
baseline,10,3,20260869,0,3,143,6,2,0,6,0,0
lookahead,10,3,20260869,0,2,127,2,2,0,1,0,0
baseline,11,0,20260870,0,4,111,10,1,1,3,0,0
lookahead,11,0,20260870,0,7,143,15,5,1,3,0,0
baseline,11,1,20260871,1,10,118,11,5,1,1,1,0
lookahead,11,1,20260871,0,6,121,9,5,0,2,0,0
baseline,11,2,20260872,0,9,144,14,3,2,6,0,0
lookahead,11,2,20260872,0,9,114,10,5,1,4,0,0
baseline,11,3,20260873,1,10,100,15,0,3,3,1,0
lookahead,11,3,20260873,0,9,121,15,1,4,1,0,0
baseline,12,0,20260874,0,8,146,15,1,2,3,1,0
lookahead,12,0,20260874,0,5,74,7,3,0,4,0,0
baseline,12,1,20260875,0,8,140,6,2,2,4,0,0
lookahead,12,1,20260875,0,7,108,11,3,2,2,0,0
baseline,12,2,20260876,1,10,139,15,4,2,3,1,0
lookahead,12,2,20260876,0,7,157,15,5,0,0,1,0
baseline,12,3,20260877,0,7,155,15,4,1,2,0,0
lookahead,12,3,20260877,0,5,101,15,5,0,1,0,0
baseline,13,0,20260878,0,7,140,8,1,3,2,0,0
lookahead,13,0,20260878,0,9,155,3,0,3,6,0,0
baseline,13,1,20260879,0,6,101,7,2,1,5,0,0
lookahead,13,1,20260879,0,4,116,7,3,0,6,0,0
baseline,13,2,20260880,0,9,125,12,1,4,6,0,0
lookahead,13,2,20260880,1,10,127,14,4,2,4,0,0
baseline,13,3,20260881,0,9,134,15,4,2,5,0,0
lookahead,13,3,20260881,1,10,124,12,3,3,3,0,0
baseline,14,0,20260882,0,8,91,12,2,3,3,0,0
lookahead,14,0,20260882,0,7,100,6,2,2,1,0,0
baseline,14,1,20260883,0,5,97,11,2,1,4,0,0
lookahead,14,1,20260883,0,2,100,11,2,0,0,0,0
baseline,14,2,20260884,0,9,110,15,0,3,3,1,0
lookahead,14,2,20260884,0,8,114,10,4,2,3,0,0
baseline,14,3,20260885,0,5,135,15,5,0,3,0,0
lookahead,14,3,20260885,0,6,106,14,5,0,4,0,0
baseline,15,0,20260886,0,8,108,15,1,3,3,0,0
lookahead,15,0,20260886,1,11,57,12,2,3,3,1,0
baseline,15,1,20260887,1,10,118,9,2,2,2,1,0
lookahead,15,1,20260887,0,4,127,4,2,1,0,0,0
baseline,15,2,20260888,0,8,113,15,3,2,7,0,0
lookahead,15,2,20260888,0,7,121,15,4,1,5,0,0
baseline,15,3,20260889,0,6,86,9,2,2,4,0,0
lookahead,15,3,20260889,0,7,146,5,1,2,5,0,0
baseline,16,0,20260890,1,10,169,15,4,1,6,1,0
