variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds,won_off,won_on,won_delta,final_vp_off,final_vp_on,final_vp_delta,roads_off,roads_on,roads_delta,settlements_off,settlements_on,settlements_delta,cities_off,cities_on,cities_delta,dev_cards_off,dev_cards_on,dev_cards_delta,has_longest_road_off,has_longest_road_on,has_longest_road_delta,has_largest_army_off,has_largest_army_on,has_largest_army_delta,runtime_seconds_off,runtime_seconds_on,runtime_seconds_delta
maritime_off,0,0,0,5,8,5,0,4,0,0,1.8623470421880484,0,0,0,5,4,-1,8,6,-2,5,4,-1,0,0,0,4,4,0,0,0,0,0,0,0,1.8623470421880484,1.5691114580258727,-0.29323558416217566
maritime_off,1,1,1,10,13,3,3,3,0,0,2.2948068752884865,1,0,-1,10,8,-2,13,6,-7,3,2,-1,3,2,-1,3,5,2,0,0,0,0,0,0,2.2948068752884865,1.617916458286345,-0.6768904170021415
maritime_off,2,2,0,7,11,5,1,2,0,0,2.07599504198879,0,1,1,7,10,3,11,8,-3,5,5,0,1,1,0,2,1,-1,0,1,1,0,0,0,2.07599504198879,1.191571875475347,-0.884423166513443
maritime_off,3,3,0,4,8,4,0,0,0,0,1.7001758329570293,0,0,0,4,9,5,8,12,4,4,5,1,0,0,0,0,3,3,0,1,1,0,0,0,1.7001758329570293,2.252857292070985,0.5526814591139555
maritime_off,4,0,0,8,15,5,0,5,1,0,2.126752666197717,0,1,1,8,10,2,15,7,-8,5,3,-2,0,3,3,5,2,-3,1,0,-1,0,0,0,2.126752666197717,1.6443467075005174,-0.4824059586971998
maritime_off,5,1,0,7,14,5,1,1,0,0,2.9291148334741592,0,0,0,7,9,2,14,13,-1,5,5,0,1,2,1,1,3,2,0,0,0,0,0,0,2.9291148334741592,3.512247584760189,0.5831327512860298
maritime_off,6,2,1,10,15,3,2,2,1,0,2.566918833181262,1,0,-1,10,8,-2,15,11,-4,3,3,0,2,2,0,2,3,1,1,0,-1,0,0,0,2.566918833181262,2.023325958289206,-0.543592874892056
maritime_off,7,3,0,4,5,4,0,2,0,0,1.346874457783997,0,0,0,4,7,3,5,9,4,4,4,0,0,1,1,2,4,2,0,0,0,0,0,0,1.346874457783997,1.870441290549934,0.5235668327659369
maritime_off,8,0,1,10,11,3,3,2,0,0,2.474325083196163,1,1,0,10,10,0,11,9,-2,3,2,-1,3,4,1,2,1,-1,0,0,0,0,0,0,2.474325083196163,1.9845737079158425,-0.48975137528032064
maritime_off,9,1,1,10,15,4,3,7,0,0,2.338303499855101,1,0,-1,10,9,-1,15,9,-6,4,3,-1,3,3,0,7,6,-1,0,0,0,0,0,0,2.338303499855101,2.590486125089228,0.25218262523412704
maritime_off,10,2,0,7,6,4,1,3,0,0,1.3651822907850146,0,1,1,7,10,3,6,9,3,4,2,-2,1,4,3,3,1,-2,0,0,0,0,0,0,1.3651822907850146,2.0332280416041613,0.6680457508191466
maritime_off,11,3,0,5,11,5,0,2,0,0,2.3484807927161455,0,1,1,5,10,5,11,14,3,5,4,-1,0,2,2,2,3,1,0,1,1,0,0,0,2.3484807927161455,3.4658321673050523,1.1173513745889068
maritime_off,12,0,1,10,8,0,4,8,0,0,1.4156662914901972,1,1,0,10,10,0,8,6,-2,0,1,1,4,4,0,8,6,-2,0,0,0,0,0,0,1.4156662914901972,2.6862589167430997,1.2705926252529025
maritime_off,13,1,1,10,13,5,1,2,1,0,1.5241044582799077,1,1,0,10,10,0,13,12,-1,5,5,0,1,1,0,2,4,2,1,1,0,0,0,0,1.5241044582799077,2.093950666487217,0.5698462082073092
maritime_off,14,2,1,10,8,4,2,4,0,0,1.5456932922825217,1,1,0,10,10,0,8,10,2,4,5,1,2,1,-1,4,7,3,0,0,0,0,0,0,1.5456932922825217,2.326865166425705,0.7811718741431832
maritime_off,15,3,0,3,8,3,0,0,0,0,2.1018919590860605,0,1,1,3,10,7,8,7,-1,3,0,-3,0,4,4,0,3,3,0,0,0,0,0,0,2.1018919590860605,1.7526137074455619,-0.34927825164049864
maritime_off,16,0,0,9,10,5,2,0,0,0,2.390296209603548,0,0,0,9,4,-5,10,4,-6,5,4,-1,2,0,-2,0,5,5,0,0,0,0,0,0,2.390296209603548,1.5285214586183429,-0.8617747509852052
maritime_off,17,1,0,6,10,4,1,0,0,0,1.748106874525547,0,1,1,6,10,4,10,13,3,4,5,1,1,1,0,0,2,2,0,1,1,0,0,0,1.748106874525547,2.753040749579668,1.004933875054121
maritime_off,18,2,0,5,10,3,1,1,0,0,2.138834999874234,0,0,0,5,4,-1,10,10,0,3,4,1,1,0,-1,1,3,2,0,0,0,0,0,0,2.138834999874234,2.001157666556537,-0.13767733331769705
maritime_off,19,3,0,8,8,5,1,6,0,0,1.8207492073997855,0,1,1,8,10,2,8,10,2,5,4,-1,1,2,1,6,7,1,0,0,0,0,0,0,1.8207492073997855,2.229938459582627,0.4091892521828413
maritime_off,20,0,0,7,4,1,3,2,0,0,1.6538137923926115,0,0,0,7,8,1,4,4,0,1,0,-1,3,4,1,2,6,4,0,0,0,0,0,0,1.6538137923926115,2.1628262074664235,0.509012415073812
