variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
maritime_off,0,0,1,10,7,0,4,5,0,0,1.9890482500195503
maritime_on,0,0,1,10,5,0,4,7,0,0,2.30158737488091
maritime_off,1,1,0,4,3,3,0,4,0,0,2.049306041561067
maritime_on,1,1,0,6,5,3,1,4,0,0,1.8927317503839731
maritime_off,2,2,0,7,11,5,1,2,0,0,2.0175754576921463
maritime_on,2,2,1,10,8,5,1,1,1,0,1.1595477908849716
maritime_off,3,3,0,4,8,4,0,0,0,0,1.699917959049344
maritime_on,3,3,0,9,12,5,0,3,1,0,2.447661624290049
maritime_off,4,0,0,8,7,4,1,9,0,0,2.565944291651249
maritime_on,4,0,1,10,8,2,3,5,0,0,2.585902165621519
maritime_off,5,1,0,2,3,2,0,0,0,0,1.2524185413494706
maritime_on,5,1,0,3,3,3,0,2,0,0,1.2832887498661876
maritime_off,6,2,1,10,14,4,1,5,1,0,2.3365298751741648
maritime_on,6,2,1,10,8,2,4,2,0,0,1.4375062910839915
maritime_off,7,3,0,4,5,4,0,2,0,0,1.3636023327708244
maritime_on,7,3,0,7,9,4,1,4,0,0,2.0031835418194532
maritime_off,8,0,0,6,3,1,2,5,0,0,1.6810335833579302
maritime_on,8,0,0,4,3,2,1,3,0,0,1.9984064996242523
maritime_off,9,1,0,4,2,0,2,0,0,0,1.5988526241853833
maritime_on,9,1,0,7,3,0,3,4,0,0,1.4375298749655485
maritime_off,10,2,0,4,4,4,0,2,0,0,0.8653411660343409
maritime_on,10,2,0,4,4,4,0,5,0,0,0.9932898748666048
maritime_off,11,3,0,5,11,5,0,2,0,0,2.3009147495031357
maritime_on,11,3,1,10,14,4,2,3,1,0,3.4420268749818206
maritime_off,12,0,1,10,9,1,4,3,0,0,1.5930072497576475
maritime_on,12,0,0,9,5,2,3,6,0,0,1.6773354168981314
maritime_off,13,1,0,7,4,4,0,8,0,0,1.5245588338002563
maritime_on,13,1,0,9,4,0,4,9,0,0,2.363538541831076
maritime_off,14,2,0,8,15,5,0,3,1,0,2.327288333326578
maritime_on,14,2,1,10,13,5,1,3,1,0,2.5935792922973633
maritime_off,15,3,0,3,8,3,0,0,0,0,2.3867899999022484
maritime_on,15,3,1,10,7,0,4,3,0,0,1.876993291079998
maritime_off,16,0,0,6,3,0,3,1,0,0,2.05223070923239
maritime_on,16,0,0,9,5,0,4,4,0,0,2.596205709502101
maritime_off,17,1,0,8,5,1,3,2,0,0,2.4345500404015183
maritime_on,17,1,1,10,7,0,4,2,0,0,2.0778097081929445
maritime_off,18,2,0,5,15,3,0,2,1,0,2.9581037499010563
maritime_on,18,2,0,5,10,5,0,5,0,0,2.807039000093937
maritime_off,19,3,0,8,8,5,1,6,0,0,1.8076048335060477
maritime_on,19,3,1,10,10,4,2,7,0,0,2.1991508342325687
maritime_off,20,0,0,4,3,0,2,4,0,0,1.6390563752502203
maritime_on,20,0,0,3,3,2,0,6,0,0,1.67278254032135
maritime_off,21,1,0,2,2,2,0,0,0,0,1.315453415736556
maritime_on,21,1,0,4,3,3,0,5,0,0,1.650222416035831
maritime_off,22,2,0,6,15,5,0,3,0,0,3.1545460000634193
maritime_on,22,2,1,10,12,4,1,7,1,0,2.1835557501763105
maritime_off,23,3,0,3,7,3,0,0,0,0,1.1576104993000627
maritime_on,23,3,0,5,3,2,1,3,0,0,1.075462750159204
maritime_off,24,0,0,5,4,1,1,5,0,0,1.4992976672947407
maritime_on,24,0,0,5,2,1,1,6,0,0,1.681125707924366
maritime_off,25,1,0,4,3,3,0,3,0,0,1.4073833748698235
maritime_on,25,1,0,6,3,0,2,6,0,0,1.5706780413165689
maritime_off,26,2,0,2,3,2,0,3,0,0,1.8742493335157633
maritime_on,26,2,0,8,6,2,2,4,0,0,2.329236458055675
maritime_off,27,3,1,11,11,4,2,5,1,0,1.4479673746973276
maritime_on,27,3,1,10,11,2,4,5,0,0,3.2326650423929095
maritime_off,28,0,0,4,4,2,1,4,0,0,1.0970743326470256
maritime_on,28,0,0,6,4,2,2,5,0,0,1.5667972080409527
maritime_off,29,1,0,3,3,3,0,4,0,0,1.2964570419862866
maritime_on,29,1,0,6,3,1,2,5,0,0,1.318006832152605
maritime_off,30,2,0,5,7,1,2,2,0,0,1.5132902506738901
maritime_on,30,2,0,8,6,1,3,4,0,0,2.173033332452178
maritime_off,31,3,1,10,15,4,2,8,1,0,1.9421211667358875
maritime_on,31,3,0,7,4,1,3,4,0,0,1.7249760422855616
maritime_off,32,0,0,4,2,0,2,5,0,0,2.439377833157778
maritime_on,32,0,0,5,3,0,2,6,0,0,1.890463000163436
maritime_off,33,1,0,5,3,0,2,2,0,0,1.7764499159529805
maritime_on,33,1,0,6,3,0,3,3,0,0,1.6111115422099829
maritime_off,34,2,0,7,14,1,2,0,1,0,3.1864747907966375
maritime_on,34,2,1,10,13,5,1,6,1,0,2.1313678342849016
maritime_off,35,3,1,10,12,4,2,5,1,0,2.094455249607563
maritime_on,35,3,1,10,9,3,3,4,0,0,2.8482013754546642
maritime_off,36,0,0,8,15,5,1,4,0,0,2.927061124704778
maritime_on,36,0,0,9,10,1,4,5,0,0,2.5537600833922625
maritime_off,37,1,0,4,3,2,0,4,0,0,2.036543541587889
maritime_on,37,1,0,8,9,4,1,6,0,0,2.2796655828133225
maritime_off,38,2,0,4,13,4,0,0,0,0,2.2033916665241122
maritime_on,38,2,0,5,11,5,0,4,0,0,1.7868793746456504
maritime_off,39,3,0,7,11,5,0,3,0,0,2.276187624782324
maritime_on,39,3,0,5,7,5,0,3,0,0,1.71313929092139
maritime_off,40,0,0,6,3,0,3,6,0,0,1.921414541080594
maritime_on,40,0,0,8,3,1,2,10,0,0,2.158509667031467
maritime_off,41,1,0,5,3,2,1,3,0,0,1.0404906244948506
maritime_on,41,1,0,9,6,1,3,3,0,0,2.0526791252195835
maritime_off,42,2,0,5,7,5,0,2,0,0,1.7798927910625935
maritime_on,42,2,0,7,10,5,1,2,0,0,1.867600291967392
maritime_off,43,3,1,10,15,4,3,4,0,0,2.428990041837096
maritime_on,43,3,1,10,10,5,2,5,0,0,2.0649106251075864
maritime_off,44,0,0,9,6,0,4,3,0,0,1.6751258336007595
maritime_on,44,0,1,10,6,1,3,4,0,0,1.2785364175215364
maritime_off,45,1,0,8,5,0,3,9,0,0,1.9701176257804036
maritime_on,45,1,1,10,5,0,4,8,0,0,1.8115584999322891
maritime_off,46,2,0,7,13,5,0,0,1,0,2.275296499952674
maritime_on,46,2,0,8,12,5,0,1,1,0,2.0293120006099343
maritime_off,47,3,0,8,12,5,0,3,1,0,2.050470666028559
maritime_on,47,3,0,8,8,5,1,4,0,0,2.3949694596230984
maritime_off,48,0,0,5,3,2,1,4,0,0,1.4962429581210017
maritime_on,48,0,1,10,7,2,3,5,0,0,2.091263416223228
maritime_off,49,1,0,6,7,5,0,4,0,0,1.8408697079867125
maritime_on,49,1,1,11,10,1,4,3,1,0,2.098855249583721
maritime_off,50,2,0,6,10,4,1,2,0,0,1.8408907493576407
maritime_on,50,2,0,5,7,1,2,1,0,0,1.159852834418416
maritime_off,51,3,0,5,6,4,0,2,0,0,1.6384701654314995
maritime_on,51,3,0,9,9,4,2,1,0,0,1.9418724169954658
maritime_off,52,0,1,10,6,1,3,7,0,0,1.9717309167608619
maritime_on,52,0,0,7,5,0,3,6,0,0,2.342671375721693
maritime_off,53,1,0,4,3,2,1,5,0,0,1.639829833060503
maritime_on,53,1,0,6,3,2,1,7,0,0,1.4637151658535004
maritime_off,54,2,0,2,2,2,0,1,0,0,1.504650542512536
maritime_on,54,2,0,6,8,4,1,3,0,0,2.0833702506497502
maritime_off,55,3,0,7,15,5,0,2,1,0,1.8914292501285672
maritime_on,55,3,1,10,14,4,2,4,1,0,2.520602500066161
maritime_off,56,0,0,6,6,4,0,5,0,0,1.7540830001235008
maritime_on,56,0,1,10,8,2,3,5,0,0,2.232687500305474
maritime_off,57,1,0,5,5,2,0,6,0,0,1.5584652498364449
maritime_on,57,1,0,3,7,2,0,5,0,0,1.5095649175345898
maritime_off,58,2,1,10,15,4,2,0,1,0,2.4754291251301765
maritime_on,58,2,0,9,11,4,1,3,1,0,2.270577040500939
maritime_off,59,3,1,10,15,5,1,3,1,0,2.5282716248184443
maritime_on,59,3,1,10,13,5,1,2,1,0,2.0087914168834686
maritime_off,60,0,1,10,6,4,1,5,0,0,1.5456103328615427
maritime_on,60,0,0,9,6,2,2,9,0,0,1.7861550422385335
maritime_off,61,1,0,5,3,0,2,3,0,0,1.802355750463903
maritime_on,61,1,0,6,4,3,1,7,0,0,2.017416624352336
maritime_off,62,2,0,7,14,5,0,1,1,0,1.8357650423422456
maritime_on,62,2,0,6,8,5,0,3,0,0,2.063177959062159
maritime_off,63,3,1,10,7,0,4,4,0,0,1.9036198752000928
maritime_on,63,3,0,6,3,0,3,2,0,0,1.2901137080043554
maritime_off,64,0,0,7,5,0,3,6,0,0,1.9801268326118588
maritime_on,64,0,0,9,3,0,3,8,0,0,2.274381499737501
maritime_off,65,1,0,5,4,0,2,2,0,0,2.070162166841328
maritime_on,65,1,0,7,3,0,3,6,0,0,1.6891581248492002
maritime_off,66,2,0,2,4,2,0,1,0,0,1.17200249992311
maritime_on,66,2,0,4,6,3,0,4,0,0,1.7005925420671701
maritime_off,67,3,1,10,14,4,1,6,1,0,2.1264649173244834
maritime_on,67,3,1,10,15,3,2,5,1,0,2.317047874443233
maritime_off,68,0,1,10,12,0,3,9,1,0,1.9193870825693011
maritime_on,68,0,0,9,3,0,3,10,0,0,2.402689124457538
maritime_off,69,1,1,10,7,1,4,4,0,0,1.9033290417864919
