seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
0,0,0,0,0,4,4,0,6,6,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,1.524115207605064,1.5020864577963948,-0.02202874980866909
1,1,0,0,0,8,8,0,8,8,0,2,2,0,3,3,0,4,4,0,0,0,0,0,0,0,2.261784667149186,2.205786583945155,-0.05599808320403099
2,2,1,1,0,10,10,0,8,8,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,1.1656760005280375,4.509540583007038,3.343864582479
3,3,0,0,0,9,9,0,12,12,0,5,5,0,0,0,0,3,3,0,1,1,0,0,0,0,2.2581829177215695,2.1302493745461106,-0.1279335431754589
4,0,1,1,0,10,10,0,7,7,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,1.5889989165589213,1.547786207869649,-0.041212708689272404
5,1,0,0,0,9,9,0,13,14,1,5,5,0,2,1,-1,3,3,0,0,1,1,0,0,0,3.3435931662097573,7.498655165545642,4.155061999335885
6,2,0,0,0,8,8,0,11,11,0,3,3,0,2,2,0,3,3,0,0,0,0,0,0,0,1.9025214994326234,1.9038473330438137,0.001325833611190319
7,3,1,1,0,10,10,0,8,8,0,3,3,0,2,2,0,2,2,0,1,1,0,0,0,0,2.477174165658653,3.2483675004914403,0.7711933348327875
8,0,1,1,0,10,10,0,9,9,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,1.8781815422698855,1.8754645008593798,-0.0027170414105057716
9,1,0,0,0,9,9,0,9,9,0,3,3,0,3,3,0,6,6,0,0,0,0,0,0,0,2.462740832939744,2.473456958308816,0.01071612536907196
10,2,1,1,0,10,10,0,8,8,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,1.8951221257448196,1.8891883753240108,-0.005933750420808792
11,3,1,1,0,10,10,0,14,14,0,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,3.2699476247653365,3.2774624172598124,0.0075147924944758415
12,0,1,0,-1,10,7,-3,6,4,-2,1,2,1,4,2,-2,6,7,1,0,0,0,0,0,0,2.5640053749084473,3.849493958055973,1.2854885831475258
13,1,1,1,0,10,11,1,12,15,3,5,4,-1,1,2,1,4,5,1,1,1,0,0,0,0,1.9646697919815779,5.540326333604753,3.575656541623175
14,2,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,7,7,0,0,0,0,0,0,0,2.206378540955484,2.20509949978441,-0.0012790411710739136
15,3,1,1,0,10,10,0,9,7,-2,3,2,-1,3,3,0,2,4,2,0,0,0,0,0,0,1.7481604171916842,1.7398726670071483,-0.00828775018453598
16,0,1,1,0,10,10,0,8,8,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,1.9826657501980662,1.977424374781549,-0.005241375416517258
17,1,1,1,0,10,10,0,13,13,0,5,5,0,1,1,0,2,2,0,1,1,0,0,0,0,2.605329000391066,2.5910497503355145,-0.014279250055551529
18,2,0,0,0,4,4,0,10,10,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,1.9169101668521762,1.9086636248975992,-0.00824654195457697
19,3,1,1,0,10,10,0,10,10,0,4,4,0,2,2,0,7,7,0,0,0,0,0,0,0,2.152875875122845,2.1566180419176817,0.003742166794836521
20,0,0,0,0,9,9,0,6,6,0,1,1,0,4,4,0,3,3,0,0,0,0,0,0,0,2.7984904162585735,2.7912945840507746,-0.007195832207798958
21,1,1,1,0,10,10,0,7,7,0,2,2,0,4,4,0,6,6,0,0,0,0,0,0,0,2.525295415893197,2.517601875588298,-0.007693540304899216
22,2,0,0,0,8,8,0,15,15,0,4,4,0,1,1,0,5,5,0,1,1,0,0,0,0,3.3581179594621062,3.440406666137278,0.08228870667517185
23,3,0,0,0,5,5,0,3,3,0,2,2,0,1,1,0,3,3,0,0,0,0,0,0,0,1.0276203332468867,1.0214214585721493,-0.0061988746747374535
24,0,0,0,0,5,5,0,8,8,0,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,1.294264749623835,1.289116082713008,-0.00514866691082716
25,1,0,0,0,9,9,0,15,15,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,3.2621284583583474,3.3728578332811594,0.11072937492281199
26,2,0,0,0,7,7,0,7,7,0,2,2,0,2,2,0,3,3,0,0,0,0,0,0,0,1.4785589585080743,1.4730999590829015,-0.005458999425172806
27,3,1,1,0,10,10,0,11,11,0,2,2,0,4,4,0,5,5,0,0,0,0,0,0,0,3.082574499770999,3.092338375747204,0.009763875976204872
28,0,1,1,0,10,10,0,9,9,0,4,4,0,2,2,0,5,5,0,0,0,0,0,0,0,2.1099877916276455,2.1109347911551595,0.0009469995275139809
29,1,1,1,0,10,10,0,12,12,0,4,4,0,2,2,0,2,2,0,1,1,0,0,0,0,2.48796375002712,2.497256792150438,0.009293042123317719
30,2,0,0,0,9,9,0,7,7,0,2,2,0,3,3,0,4,4,0,0,0,0,0,0,0,2.1307059582322836,2.1286063753068447,-0.002099582925438881
31,3,0,0,0,7,7,0,4,4,0,1,1,0,3,3,0,4,4,0,0,0,0,0,0,0,1.6545729590579867,1.6440545003861189,-0.010518458671867847
32,0,0,0,0,6,6,0,6,6,0,3,3,0,1,1,0,5,5,0,0,0,0,0,0,0,1.4592727506533265,1.4532340420410037,-0.006038708612322807
33,1,1,1,0,10,10,0,9,9,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,1.8796117082238197,1.8779322495684028,-0.0016794586554169655
34,2,0,0,0,6,6,0,6,6,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,1.4501398336142302,1.445871707983315,-0.004268125630915165
35,3,1,1,0,10,10,0,9,9,0,3,3,0,3,3,0,4,2,-2,0,0,0,0,0,0,2.5082932077348232,8.648667459376156,6.140374251641333
36,0,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,7,7,0,0,0,0,0,0,0,1.9041184578090906,1.899740249849856,-0.0043782079592347145
37,1,1,1,0,10,10,0,12,12,0,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,2.850656958296895,10.271471166051924,7.420814207755029
38,2,0,0,0,5,5,0,11,11,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,2.2016172921285033,2.2007418340072036,-0.0008754581212997437
39,3,0,0,0,5,5,0,7,7,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,1.6808592909947038,1.638143042102456,-0.04271624889224768
