variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
monopoly_off,0,0,0,4,6,4,0,4,0,0,1.524115207605064
monopoly_on,0,0,0,4,6,4,0,4,0,0,1.5020864577963948
monopoly_off,1,1,0,8,8,2,3,4,0,0,2.261784667149186
monopoly_on,1,1,0,8,8,2,3,4,0,0,2.205786583945155
monopoly_off,2,2,1,10,8,5,1,1,1,0,1.1656760005280375
monopoly_on,2,2,1,10,8,5,1,1,1,0,4.509540583007038
monopoly_off,3,3,0,9,12,5,0,3,1,0,2.2581829177215695
monopoly_on,3,3,0,9,12,5,0,3,1,0,2.1302493745461106
monopoly_off,4,0,1,10,7,3,3,2,0,0,1.5889989165589213
monopoly_on,4,0,1,10,7,3,3,2,0,0,1.547786207869649
monopoly_off,5,1,0,9,13,5,2,3,0,0,3.3435931662097573
monopoly_on,5,1,0,9,14,5,1,3,1,0,7.498655165545642
monopoly_off,6,2,0,8,11,3,2,3,0,0,1.9025214994326234
monopoly_on,6,2,0,8,11,3,2,3,0,0,1.9038473330438137
monopoly_off,7,3,1,10,8,3,2,2,1,0,2.477174165658653
monopoly_on,7,3,1,10,8,3,2,2,1,0,3.2483675004914403
monopoly_off,8,0,1,10,9,2,4,1,0,0,1.8781815422698855
monopoly_on,8,0,1,10,9,2,4,1,0,0,1.8754645008593798
monopoly_off,9,1,0,9,9,3,3,6,0,0,2.462740832939744
monopoly_on,9,1,0,9,9,3,3,6,0,0,2.473456958308816
monopoly_off,10,2,1,10,8,2,4,1,0,0,1.8951221257448196
monopoly_on,10,2,1,10,8,2,4,1,0,0,1.8891883753240108
monopoly_off,11,3,1,10,14,4,2,3,1,0,3.2699476247653365
monopoly_on,11,3,1,10,14,4,2,3,1,0,3.2774624172598124
monopoly_off,12,0,1,10,6,1,4,6,0,0,2.5640053749084473
monopoly_on,12,0,0,7,4,2,2,7,0,0,3.849493958055973
monopoly_off,13,1,1,10,12,5,1,4,1,0,1.9646697919815779
monopoly_on,13,1,1,11,15,4,2,5,1,0,5.540326333604753
monopoly_off,14,2,1,10,10,5,1,7,0,0,2.206378540955484
monopoly_on,14,2,1,10,10,5,1,7,0,0,2.20509949978441
monopoly_off,15,3,1,10,9,3,3,2,0,0,1.7481604171916842
monopoly_on,15,3,1,10,7,2,3,4,0,0,1.7398726670071483
monopoly_off,16,0,1,10,8,3,3,3,0,0,1.9826657501980662
monopoly_on,16,0,1,10,8,3,3,3,0,0,1.977424374781549
monopoly_off,17,1,1,10,13,5,1,2,1,0,2.605329000391066
monopoly_on,17,1,1,10,13,5,1,2,1,0,2.5910497503355145
monopoly_off,18,2,0,4,10,4,0,3,0,0,1.9169101668521762
monopoly_on,18,2,0,4,10,4,0,3,0,0,1.9086636248975992
monopoly_off,19,3,1,10,10,4,2,7,0,0,2.152875875122845
monopoly_on,19,3,1,10,10,4,2,7,0,0,2.1566180419176817
monopoly_off,20,0,0,9,6,1,4,3,0,0,2.7984904162585735
monopoly_on,20,0,0,9,6,1,4,3,0,0,2.7912945840507746
monopoly_off,21,1,1,10,7,2,4,6,0,0,2.525295415893197
monopoly_on,21,1,1,10,7,2,4,6,0,0,2.517601875588298
monopoly_off,22,2,0,8,15,4,1,5,1,0,3.3581179594621062
monopoly_on,22,2,0,8,15,4,1,5,1,0,3.440406666137278
monopoly_off,23,3,0,5,3,2,1,3,0,0,1.0276203332468867
monopoly_on,23,3,0,5,3,2,1,3,0,0,1.0214214585721493
monopoly_off,24,0,0,5,8,5,0,2,0,0,1.294264749623835
monopoly_on,24,0,0,5,8,5,0,2,0,0,1.289116082713008
monopoly_off,25,1,0,9,15,5,1,1,1,0,3.2621284583583474
monopoly_on,25,1,0,9,15,5,1,1,1,0,3.3728578332811594
monopoly_off,26,2,0,7,7,2,2,3,0,0,1.4785589585080743
