strategy,seat,games,win_rate,avg_expansion_sites,avg_best_expansion_score,avg_expansion_score,winner_best_expansion,loser_best_expansion
five_resource,1,100,0.29,1.73,9.125,8.28875,8.862068965517242,9.232394366197184
five_resource,2,100,0.26,1.62,8.095,7.214166666666666,8.538461538461538,7.9391891891891895
five_resource,3,100,0.25,1.53,7.49,6.605833333333333,7.6,7.453333333333333
five_resource,4,100,0.2,1.74,8.375,7.4783333333333335,9.15,8.18125
full_ows,1,100,0.28,1.46,8.035,7.216666666666667,8.625,7.805555555555555
full_ows,2,100,0.17,1.54,9.26,8.262083333333333,9.941176470588236,9.120481927710843
full_ows,3,100,0.28,1.59,9.08,8.115416666666667,9.357142857142858,8.972222222222221
full_ows,4,100,0.27,1.72,9.73,8.879583333333333,9.962962962962964,9.643835616438356
hybrid_ows,1,100,0.33,1.53,8.445,7.67,8.681818181818182,8.328358208955224
hybrid_ows,2,100,0.19,1.47,8.02,7.210416666666666,8.605263157894736,7.882716049382716
hybrid_ows,3,100,0.22,1.66,8.465,7.72,8.613636363636363,8.423076923076923
hybrid_ows,4,100,0.26,1.75,8.61,7.587916666666667,8.76923076923077,8.554054054054054
port,1,100,0.17,1.57,8.955,8.109583333333333,10.117647058823529,8.716867469879517
port,2,100,0.26,1.78,9.485,8.66125,10.557692307692308,9.108108108108109
port,3,100,0.27,1.43,8.125,7.449166666666667,8.703703703703704,7.910958904109589
port,4,100,0.3,1.87,9.61,8.625833333333333,10.866666666666667,9.071428571428571
road_building,1,100,0.35,1.65,8.515,7.43625,9.8,7.823076923076923
road_building,2,100,0.17,1.62,9.81,8.741666666666667,11.5,9.463855421686747
road_building,3,100,0.31,1.64,9.325,8.071666666666667,9.661290322580646,9.173913043478262
road_building,4,100,0.17,1.82,10.06,8.859166666666667,9.735294117647058,10.126506024096386
roads_and_cities,1,100,0.24,1.63,8.98,8.070416666666667,10.0,8.657894736842104
roads_and_cities,2,100,0.25,1.42,8.55,7.871666666666667,8.82,8.46
roads_and_cities,3,100,0.27,1.77,8.91,7.78875,8.796296296296296,8.952054794520548
roads_and_cities,4,100,0.24,1.66,8.995,8.065416666666666,9.5,8.835526315789474
