strategy,seat,games,wins,win_rate,combined_production,combined_diversity,strategic_score,port_rate,start_cards,wood,brick,sheep,wheat,ore
full_ows,1,100,28,0.28,19.62,3.69,23.048,0.26,2.43,2.23,1.72,3.94,6.56,5.17
full_ows,2,100,17,0.17,19.18,3.88,21.944,0.26,2.54,2.59,1.7,4.51,5.66,4.72
full_ows,3,100,28,0.28,19.44,3.82,21.148999999999997,0.19,2.75,3.26,1.95,4.94,5.29,4
full_ows,4,100,27,0.27,19.21,3.9,21.006,0.17,2.79,2.76,2.17,5.45,4.84,3.99
hybrid_ows,1,100,33,0.33,20.58,4.07,25.273,0.18,2.71,3.56,2.53,3.61,5.91,4.97
hybrid_ows,2,100,19,0.19,20.61,4.08,24.602999999999998,0.12,2.8,4.24,2.25,5.2,5.09,3.83
hybrid_ows,3,100,22,0.22,20.4,4.22,24.334,0.1,2.83,4.03,2.86,4.76,5.06,3.69
hybrid_ows,4,100,26,0.26,20.13,4.2,24.144,0.09,2.91,3.6,3.07,4.61,4.97,3.88
road_building,1,100,35,0.35,19.75,3.73,24.686,0.28,2.45,7.2,4.87,3.07,2.96,1.65
road_building,2,100,17,0.17,19.21,3.77,23.176000000000002,0.37,2.51,6.12,4.42,3.79,3.41,1.47
road_building,3,100,31,0.31,19.56,3.91,22.427,0.23,2.67,5.79,3.85,3.75,3.84,2.33
road_building,4,100,17,0.17,19.36,3.89,22.233,0.23,2.69,5.28,4.22,4.22,3.48,2.16
roads_and_cities,1,100,24,0.24,20.63,4.15,24.704,0.21,2.63,4.5,3.12,2.64,5.55,4.82
roads_and_cities,2,100,25,0.25,20.45,4.22,24.075,0.15,2.74,4.55,3.77,3.11,5.34,3.68
roads_and_cities,3,100,27,0.27,20.13,4.26,23.826999999999998,0.09,2.85,5.11,3.11,2.99,4.81,4.11
roads_and_cities,4,100,24,0.24,20.28,4.12,23.548,0.1,2.89,5.15,3.58,3.34,4.58,3.63
five_resource,1,100,29,0.29,20.66,4.38,27.23,0.24,2.71,4.75,3.22,4.44,4.77,3.48
five_resource,2,100,26,0.26,20.68,4.35,27.205,0.14,2.75,4.67,3.5,4.4,4.29,3.82
five_resource,3,100,25,0.25,20.44,4.46,27.13,0.08,2.9,4.65,3.53,4.11,4.07,4.08
five_resource,4,100,20,0.2,20.8,4.28,27.22,0.02,2.97,4.38,3.59,4.98,4.48,3.37
port,1,100,17,0.17,20.47,3.85,22.809,0.53,2.42,4.8,3.29,4.87,3.92,3.59
port,2,100,26,0.26,20.29,3.9,22.508,0.48,2.51,4.78,3.22,4.19,4.45,3.65
port,3,100,27,0.27,19.88,3.74,22.588,0.61,2.42,4.86,3.26,3.92,4.52,3.32
port,4,100,30,0.3,20.07,3.73,22.416,0.49,2.54,4.35,3.28,4.41,4.62,3.41
