seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
0,0,0,0,0,4,4,0,6,6,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,1.6885405834764242,1.5368829164654016,-0.15165766701102257
1,1,0,0,0,8,8,0,6,8,2,2,2,0,2,3,1,5,4,-1,0,0,0,0,0,0,1.532802790403366,2.1779231252148747,0.6451203348115087
2,2,1,1,0,10,10,0,8,8,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,1.1295935418456793,1.1315469583496451,0.0019534165039658546
3,3,0,0,0,9,9,0,12,12,0,5,5,0,0,0,0,3,3,0,1,1,0,0,0,0,2.231295792385936,2.131846291013062,-0.09944950137287378
4,0,1,1,0,10,10,0,7,7,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,1.5513652078807354,1.554817583411932,0.0034523755311965942
5,1,0,0,0,9,9,0,13,13,0,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,3.3732257913798094,3.3314299173653126,-0.0417958740144968
6,2,0,0,0,8,8,0,11,11,0,3,3,0,2,2,0,3,3,0,0,0,0,0,0,0,1.9101916253566742,1.8974146666005254,-0.012776958756148815
7,3,0,1,1,7,10,3,9,8,-1,4,3,-1,1,2,1,4,2,-2,0,1,1,0,0,0,1.7744620414450765,2.45259275007993,0.6781307086348534
8,0,1,1,0,10,10,0,9,9,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,1.8719839164987206,1.8689980832859874,-0.0029858332127332687
9,1,0,0,0,9,9,0,9,9,0,3,3,0,3,3,0,6,6,0,0,0,0,0,0,0,2.464070209302008,2.4435552079230547,-0.020515001378953457
10,2,1,1,0,10,10,0,9,8,-1,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,1.9099153755232692,1.926996416412294,0.017081040889024734
11,3,1,1,0,10,10,0,14,14,0,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,3.347682292573154,3.3525525415316224,0.004870248958468437
12,0,1,1,0,10,10,0,6,6,0,1,1,0,4,4,0,6,6,0,0,0,0,0,0,0,2.916955541819334,2.894114000722766,-0.022841541096568108
13,1,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.098804082721472,2.0862045008689165,-0.012599581852555275
14,2,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,7,7,0,0,0,0,0,0,0,2.8986613750457764,2.9863823326304555,0.08772095758467913
15,3,1,1,0,10,10,0,7,9,2,0,3,3,4,3,-1,3,2,-1,0,0,0,0,0,0,1.7948263753205538,1.8344673328101635,0.03964095748960972
