variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
road_building_off,0,0,0,4,6,4,0,4,0,0,1.6885405834764242
road_building_on,0,0,0,4,6,4,0,4,0,0,1.5368829164654016
road_building_off,1,1,0,8,6,2,2,5,0,0,1.532802790403366
road_building_on,1,1,0,8,8,2,3,4,0,0,2.1779231252148747
road_building_off,2,2,1,10,8,5,1,1,1,0,1.1295935418456793
road_building_on,2,2,1,10,8,5,1,1,1,0,1.1315469583496451
road_building_off,3,3,0,9,12,5,0,3,1,0,2.231295792385936
road_building_on,3,3,0,9,12,5,0,3,1,0,2.131846291013062
road_building_off,4,0,1,10,7,3,3,2,0,0,1.5513652078807354
road_building_on,4,0,1,10,7,3,3,2,0,0,1.554817583411932
road_building_off,5,1,0,9,13,5,2,3,0,0,3.3732257913798094
road_building_on,5,1,0,9,13,5,2,3,0,0,3.3314299173653126
road_building_off,6,2,0,8,11,3,2,3,0,0,1.9101916253566742
road_building_on,6,2,0,8,11,3,2,3,0,0,1.8974146666005254
road_building_off,7,3,0,7,9,4,1,4,0,0,1.7744620414450765
road_building_on,7,3,1,10,8,3,2,2,1,0,2.45259275007993
road_building_off,8,0,1,10,9,2,4,1,0,0,1.8719839164987206
road_building_on,8,0,1,10,9,2,4,1,0,0,1.8689980832859874
road_building_off,9,1,0,9,9,3,3,6,0,0,2.464070209302008
road_building_on,9,1,0,9,9,3,3,6,0,0,2.4435552079230547
road_building_off,10,2,1,10,9,2,4,1,0,0,1.9099153755232692
road_building_on,10,2,1,10,8,2,4,1,0,0,1.926996416412294
road_building_off,11,3,1,10,14,4,2,3,1,0,3.347682292573154
road_building_on,11,3,1,10,14,4,2,3,1,0,3.3525525415316224
road_building_off,12,0,1,10,6,1,4,6,0,0,2.916955541819334
road_building_on,12,0,1,10,6,1,4,6,0,0,2.894114000722766
road_building_off,13,1,1,10,12,5,1,4,1,0,2.098804082721472
road_building_on,13,1,1,10,12,5,1,4,1,0,2.0862045008689165
road_building_off,14,2,1,10,10,5,1,7,0,0,2.8986613750457764
road_building_on,14,2,1,10,10,5,1,7,0,0,2.9863823326304555
road_building_off,15,3,1,10,7,0,4,3,0,0,1.7948263753205538
road_building_on,15,3,1,10,9,3,3,2,0,0,1.8344673328101635
road_building_off,16,0,0,4,4,4,0,5,0,0,1.5382688343524933
road_building_on,16,0,1,10,8,3,3,3,0,0,2.0484146252274513
road_building_off,17,1,1,10,13,5,1,2,1,0,2.9731903756037354
road_building_on,17,1,1,10,13,5,1,2,1,0,2.879178916104138
road_building_off,18,2,0,4,10,4,0,3,0,0,1.9974157074466348
road_building_on,18,2,0,4,10,4,0,3,0,0,1.9795098332688212
road_building_off,19,3,1,10,10,4,2,7,0,0,2.231216332875192
road_building_on,19,3,1,10,10,4,2,7,0,0,2.220117500051856
road_building_off,20,0,0,8,4,0,4,6,0,0,2.1577051673084497
road_building_on,20,0,0,9,6,1,4,3,0,0,2.927580208517611
road_building_off,21,1,1,10,7,2,4,6,0,0,2.606265458278358
road_building_on,21,1,1,10,7,2,4,6,0,0,2.558056707493961
road_building_off,22,2,0,6,8,5,0,2,0,0,1.3688128339126706
road_building_on,22,2,0,8,15,4,1,5,1,0,3.555584792047739
road_building_off,23,3,0,5,3,2,1,3,0,0,1.0828962912783027
road_building_on,23,3,0,5,3,2,1,3,0,0,1.0637900419533253
road_building_off,24,0,0,5,8,5,0,2,0,0,1.3551270002499223
road_building_on,24,0,0,5,8,5,0,2,0,0,1.347989541478455
road_building_off,25,1,0,9,15,5,1,1,1,0,3.3841407913714647
road_building_on,25,1,0,9,15,5,1,1,1,0,3.3535312497988343
road_building_off,26,2,0,7,7,2,2,3,0,0,1.5304146250709891
road_building_on,26,2,0,7,7,2,2,3,0,0,1.52707533352077
road_building_off,27,3,1,10,11,2,4,5,0,0,3.1465811245143414
road_building_on,27,3,1,10,11,2,4,5,0,0,3.2977863755077124
road_building_off,28,0,0,4,5,3,0,6,0,0,1.8145209588110447
road_building_on,28,0,1,10,9,4,2,5,0,0,2.1568270409479737
road_building_off,29,1,0,8,9,4,1,2,1,0,2.1732560824602842
road_building_on,29,1,1,10,12,4,2,2,1,0,2.499535375274718
road_building_off,30,2,0,9,7,2,3,4,0,0,2.138337582349777
road_building_on,30,2,0,9,7,2,3,4,0,0,2.148128499276936
road_building_off,31,3,0,7,4,1,3,4,0,0,1.6712854159995914
road_building_on,31,3,0,7,4,1,3,4,0,0,1.6547718746587634
road_building_off,32,0,0,6,6,3,1,5,0,0,1.4644848750904202
road_building_on,32,0,0,6,6,3,1,5,0,0,1.4666860001161695
road_building_off,33,1,0,8,5,1,3,5,0,0,1.552418583072722
road_building_on,33,1,1,10,9,3,3,3,0,0,1.9414181243628263
road_building_off,34,2,0,6,6,0,3,1,0,0,1.4725437499582767
road_building_on,34,2,0,6,6,0,3,1,0,0,1.473776500672102
road_building_off,35,3,1,10,9,3,3,4,0,0,2.5653872499242425
road_building_on,35,3,1,10,9,3,3,4,0,0,2.574316875077784
road_building_off,36,0,1,10,10,5,1,7,0,0,1.911697625182569
road_building_on,36,0,1,10,10,5,1,7,0,0,1.9820785839110613
road_building_off,37,1,0,8,11,4,2,1,0,0,2.4595759585499763
road_building_on,37,1,1,10,12,4,2,1,1,0,3.007606958039105
road_building_off,38,2,0,7,10,5,0,3,1,0,2.0075610000640154
road_building_on,38,2,0,5,11,5,0,3,0,0,2.2208153335377574
road_building_off,39,3,0,5,7,5,0,3,0,0,1.6397437080740929
road_building_on,39,3,0,5,7,5,0,3,0,0,1.643771500326693
road_building_off,40,0,1,10,5,0,3,6,1,0,0.6835403321310878
road_building_on,40,0,1,10,7,0,3,5,1,0,1.238932958804071
road_building_off,41,1,1,10,7,4,2,6,0,0,1.9452470000833273
road_building_on,41,1,1,10,7,4,2,6,0,0,1.9523203326389194
road_building_off,42,2,1,10,8,5,0,5,1,0,1.1051874170079827
road_building_on,42,2,1,10,8,5,0,5,1,0,1.1033410830423236
road_building_off,43,3,1,10,10,5,2,5,0,0,2.0264000007882714
road_building_on,43,3,1,10,10,5,2,5,0,0,1.9242505822330713
road_building_off,44,0,1,10,8,0,4,5,0,0,1.7425410002470016
road_building_on,44,0,1,10,8,0,4,5,0,0,1.7710267081856728
road_building_off,45,1,1,10,12,5,1,5,1,0,1.7646557912230492
road_building_on,45,1,1,10,12,5,1,5,1,0,1.7434099158272147
road_building_off,46,2,1,10,10,4,2,4,0,0,2.233723291195929
