strategy,seed,winner_seat,turns,finished
full_ows,0,4,168,1
full_ows,1,2,122,1
full_ows,2,3,83,1
full_ows,3,3,115,1
full_ows,4,1,117,1
full_ows,5,1,89,1
full_ows,6,3,119,1
full_ows,7,4,76,1
full_ows,8,4,144,1
full_ows,9,1,137,1
full_ows,10,2,146,1
full_ows,11,4,124,1
full_ows,12,1,89,1
full_ows,13,4,92,1
full_ows,14,1,145,1
full_ows,15,1,121,1
full_ows,16,4,184,1
full_ows,17,1,133,1
full_ows,18,3,87,1
full_ows,19,3,115,1
full_ows,20,4,128,1
full_ows,21,2,114,1
full_ows,22,1,157,1
full_ows,23,4,68,1
full_ows,24,2,106,1
full_ows,25,1,153,1
full_ows,26,1,149,1
full_ows,27,2,138,1
full_ows,28,1,161,1
full_ows,29,1,105,1
full_ows,30,4,148,1
full_ows,31,1,85,1
full_ows,32,2,142,1
full_ows,33,1,93,1
full_ows,34,1,133,1
full_ows,35,4,124,1
full_ows,36,2,126,1
full_ows,37,1,137,1
full_ows,38,2,102,1
full_ows,39,1,73,1
full_ows,40,2,130,1
full_ows,41,4,124,1
full_ows,42,4,80,1
full_ows,43,3,103,1
full_ows,44,2,146,1
full_ows,45,3,143,1
full_ows,46,3,99,1
full_ows,47,3,131,1
full_ows,48,3,99,1
full_ows,49,2,182,1
full_ows,50,2,130,1
full_ows,51,3,131,1
full_ows,52,3,167,1
full_ows,53,3,107,1
full_ows,54,1,97,1
full_ows,55,2,86,1
full_ows,56,3,139,1
full_ows,57,2,110,1
full_ows,58,3,123,1
full_ows,59,4,88,1
full_ows,60,4,76,1
full_ows,61,4,128,1
full_ows,62,3,95,1
full_ows,63,1,105,1
full_ows,64,2,154,1
full_ows,65,3,123,1
full_ows,66,3,151,1
full_ows,67,4,60,1
full_ows,68,3,143,1
full_ows,69,2,106,1
full_ows,70,2,158,1
full_ows,71,3,91,1
full_ows,72,4,148,1
full_ows,73,3,115,1
full_ows,74,2,154,1
full_ows,75,3,155,1
full_ows,76,3,175,1
full_ows,77,3,95,1
full_ows,78,1,133,1
full_ows,79,3,127,1
full_ows,80,4,188,1
full_ows,81,4,156,1
full_ows,82,3,59,1
full_ows,83,4,160,1
full_ows,84,1,97,1
full_ows,85,2,90,1
full_ows,86,1,165,1
full_ows,87,4,104,1
full_ows,88,4,68,1
full_ows,89,3,79,1
full_ows,90,3,127,1
full_ows,91,4,112,1
full_ows,92,3,163,1
full_ows,93,3,99,1
full_ows,94,1,101,1
full_ows,95,4,108,1
full_ows,96,1,101,1
full_ows,97,2,82,1
full_ows,98,3,127,1
full_ows,99,2,58,1
hybrid_ows,0,1,89,1
hybrid_ows,1,3,87,1
hybrid_ows,2,4,160,1
hybrid_ows,3,1,93,1
hybrid_ows,4,3,99,1
hybrid_ows,5,1,165,1
hybrid_ows,6,2,102,1
hybrid_ows,7,4,120,1
hybrid_ows,8,1,109,1
hybrid_ows,9,4,152,1
hybrid_ows,10,1,125,1
hybrid_ows,11,2,210,1
hybrid_ows,12,1,113,1
hybrid_ows,13,1,97,1
hybrid_ows,14,2,82,1
hybrid_ows,15,1,105,1
hybrid_ows,16,1,153,1
hybrid_ows,17,3,79,1
hybrid_ows,18,1,77,1
hybrid_ows,19,4,124,1
hybrid_ows,20,2,142,1
hybrid_ows,21,1,109,1
hybrid_ows,22,4,132,1
hybrid_ows,23,4,140,1
hybrid_ows,24,2,154,1
hybrid_ows,25,1,81,1
hybrid_ows,26,4,88,1
hybrid_ows,27,4,144,1
hybrid_ows,28,4,172,1
hybrid_ows,29,4,132,1
hybrid_ows,30,1,105,1
hybrid_ows,31,4,116,1
hybrid_ows,32,1,129,1
hybrid_ows,33,1,161,1
hybrid_ows,34,1,165,1
hybrid_ows,35,3,115,1
hybrid_ows,36,3,163,1
hybrid_ows,37,3,95,1
hybrid_ows,38,1,93,1
hybrid_ows,39,1,105,1
hybrid_ows,40,2,126,1
hybrid_ows,41,1,77,1
hybrid_ows,42,1,109,1
hybrid_ows,43,4,144,1
hybrid_ows,44,1,121,1
hybrid_ows,45,4,88,1
hybrid_ows,46,2,122,1
hybrid_ows,47,4,104,1
hybrid_ows,48,4,140,1
hybrid_ows,49,3,147,1
hybrid_ows,50,3,115,1
hybrid_ows,51,1,145,1
hybrid_ows,52,3,171,1
hybrid_ows,53,4,44,1
hybrid_ows,54,4,92,1
hybrid_ows,55,1,129,1
hybrid_ows,56,3,151,1
hybrid_ows,57,1,65,1
hybrid_ows,58,1,137,1
hybrid_ows,59,1,93,1
hybrid_ows,60,1,129,1
hybrid_ows,61,2,138,1
hybrid_ows,62,3,119,1
hybrid_ows,63,1,109,1
hybrid_ows,64,3,115,1
hybrid_ows,65,4,72,1
hybrid_ows,66,3,115,1
hybrid_ows,67,3,103,1
hybrid_ows,68,1,101,1
hybrid_ows,69,1,85,1
hybrid_ows,70,3,171,1
hybrid_ows,71,1,101,1
hybrid_ows,72,1,125,1
hybrid_ows,73,2,138,1
hybrid_ows,74,4,104,1
hybrid_ows,75,3,131,1
hybrid_ows,76,3,147,1
hybrid_ows,77,2,82,1
hybrid_ows,78,1,181,1
hybrid_ows,79,3,131,1
hybrid_ows,80,2,74,1
hybrid_ows,81,4,72,1
hybrid_ows,82,1,101,1
hybrid_ows,83,1,141,1
hybrid_ows,84,1,93,1
hybrid_ows,85,2,126,1
hybrid_ows,86,4,188,1
hybrid_ows,87,4,124,1
hybrid_ows,88,4,112,1
hybrid_ows,89,3,147,1
hybrid_ows,90,4,144,1
hybrid_ows,91,4,156,1
hybrid_ows,92,4,96,1
hybrid_ows,93,4,92,1
hybrid_ows,94,2,106,1
hybrid_ows,95,1,125,1
hybrid_ows,96,4,84,1
hybrid_ows,97,3,95,1
hybrid_ows,98,1,89,1
hybrid_ows,99,2,54,1
road_building,0,1,137,1
road_building,1,2,98,1
road_building,2,3,95,1
road_building,3,3,171,1
road_building,4,1,149,1
road_building,5,1,165,1
road_building,6,1,137,1
road_building,7,1,229,1
road_building,8,2,170,1
road_building,9,3,159,1
road_building,10,3,123,1
road_building,11,1,125,1
road_building,12,3,119,1
road_building,13,2,158,1
road_building,14,3,139,1
road_building,15,4,124,1
road_building,16,3,155,1
road_building,17,2,126,1
road_building,18,3,83,1
road_building,19,4,96,1
road_building,20,1,77,1
road_building,21,3,111,1
road_building,22,2,98,1
road_building,23,3,147,1
road_building,24,2,146,1
road_building,25,2,162,1
road_building,26,1,161,1
road_building,27,4,108,1
road_building,28,3,171,1
road_building,29,1,105,1
road_building,30,3,227,1
road_building,31,3,147,1
road_building,32,4,160,1
road_building,33,1,145,1
road_building,34,4,120,1
road_building,35,3,195,1
road_building,36,2,130,1
road_building,37,4,132,1
road_building,38,3,143,1
road_building,39,3,155,1
road_building,40,4,200,1
road_building,41,3,143,1
road_building,42,3,187,1
road_building,43,1,73,1
road_building,44,3,167,1
road_building,45,4,96,1
road_building,46,1,149,1
road_building,47,2,142,1
road_building,48,3,195,1
road_building,49,2,138,1
road_building,50,3,99,1
road_building,51,2,146,1
road_building,52,3,127,1
road_building,53,2,114,1
road_building,54,3,95,1
road_building,55,4,144,1
road_building,56,3,171,1
road_building,57,1,133,1
road_building,58,4,144,1
road_building,59,3,167,1
road_building,60,3,119,1
road_building,61,2,142,1
road_building,62,3,151,1
road_building,63,4,212,1
road_building,64,3,159,1
road_building,65,1,157,1
road_building,66,1,57,1
road_building,67,3,155,1
road_building,68,2,114,1
road_building,69,1,133,1
road_building,70,2,146,1
road_building,71,2,78,1
road_building,72,4,152,1
road_building,73,2,186,1
road_building,74,3,151,1
road_building,75,2,94,1
road_building,76,1,153,1
road_building,77,2,130,1
road_building,78,1,105,1
road_building,79,4,132,1
road_building,80,1,169,1
road_building,81,3,139,1
road_building,82,1,121,1
road_building,83,3,183,1
road_building,84,1,129,1
road_building,85,2,126,1
road_building,86,1,97,1
road_building,87,4,160,1
road_building,88,2,102,1
road_building,89,3,171,1
road_building,90,3,151,1
road_building,91,3,179,1
road_building,92,1,193,1
road_building,93,1,77,1
road_building,94,4,184,1
road_building,95,3,171,1
road_building,96,2,114,1
road_building,97,4,148,1
road_building,98,1,117,1
road_building,99,2,102,1
roads_and_cities,0,4,132,1
roads_and_cities,1,3,127,1
roads_and_cities,2,3,119,1
roads_and_cities,3,4,100,1
roads_and_cities,4,1,97,1
roads_and_cities,5,1,137,1
roads_and_cities,6,2,94,1
roads_and_cities,7,1,69,1
roads_and_cities,8,1,101,1
roads_and_cities,9,1,117,1
roads_and_cities,10,2,114,1
roads_and_cities,11,3,127,1
roads_and_cities,12,4,116,1
roads_and_cities,13,4,76,1
roads_and_cities,14,3,83,1
roads_and_cities,15,4,120,1
roads_and_cities,16,4,124,1
roads_and_cities,17,2,110,1
roads_and_cities,18,4,108,1
roads_and_cities,19,3,79,1
roads_and_cities,20,4,120,1
roads_and_cities,21,1,105,1
roads_and_cities,22,4,156,1
roads_and_cities,23,3,143,1
roads_and_cities,24,4,148,1
roads_and_cities,25,2,170,1
roads_and_cities,26,2,134,1
roads_and_cities,27,4,156,1
roads_and_cities,28,3,115,1
roads_and_cities,29,3,111,1
roads_and_cities,30,2,134,1
roads_and_cities,31,3,103,1
roads_and_cities,32,3,151,1
roads_and_cities,33,1,169,1
roads_and_cities,34,4,108,1
roads_and_cities,35,4,116,1
roads_and_cities,36,1,93,1
roads_and_cities,37,2,102,1
roads_and_cities,38,2,130,1
roads_and_cities,39,1,113,1
roads_and_cities,40,4,92,1
roads_and_cities,41,3,127,1
roads_and_cities,42,3,131,1
roads_and_cities,43,2,138,1
roads_and_cities,44,3,191,1
roads_and_cities,45,4,112,1
roads_and_cities,46,3,119,1
roads_and_cities,47,2,122,1
roads_and_cities,48,3,111,1
roads_and_cities,49,2,86,1
roads_and_cities,50,2,90,1
roads_and_cities,51,3,163,1
roads_and_cities,52,2,102,1
roads_and_cities,53,2,130,1
roads_and_cities,54,3,91,1
roads_and_cities,55,3,139,1
roads_and_cities,56,4,120,1
roads_and_cities,57,2,130,1
roads_and_cities,58,3,147,1
roads_and_cities,59,1,125,1
roads_and_cities,60,4,100,1
roads_and_cities,61,3,99,1
roads_and_cities,62,2,110,1
roads_and_cities,63,1,145,1
roads_and_cities,64,2,134,1
roads_and_cities,65,3,103,1
roads_and_cities,66,4,140,1
roads_and_cities,67,3,159,1
roads_and_cities,68,2,102,1
roads_and_cities,69,1,105,1
roads_and_cities,70,1,97,1
roads_and_cities,71,1,137,1
roads_and_cities,72,2,90,1
roads_and_cities,73,2,138,1
roads_and_cities,74,2,138,1
roads_and_cities,75,2,154,1
roads_and_cities,76,1,133,1
roads_and_cities,77,1,97,1
roads_and_cities,78,4,64,1
roads_and_cities,79,1,97,1
roads_and_cities,80,4,100,1
roads_and_cities,81,3,143,1
roads_and_cities,82,1,149,1
roads_and_cities,83,1,113,1
roads_and_cities,84,1,161,1
roads_and_cities,85,2,118,1
roads_and_cities,86,1,153,1
roads_and_cities,87,2,106,1
roads_and_cities,88,4,84,1
roads_and_cities,89,2,90,1
roads_and_cities,90,4,152,1
roads_and_cities,91,2,174,1
roads_and_cities,92,3,75,1
roads_and_cities,93,2,130,1
roads_and_cities,94,1,125,1
roads_and_cities,95,3,123,1
roads_and_cities,96,4,80,1
roads_and_cities,97,3,131,1
roads_and_cities,98,2,118,1
roads_and_cities,99,4,116,1
five_resource,0,1,93,1
five_resource,1,1,73,1
five_resource,2,4,156,1
five_resource,3,2,134,1
five_resource,4,1,121,1
five_resource,5,2,146,1
five_resource,6,3,111,1
five_resource,7,2,110,1
five_resource,8,2,154,1
five_resource,9,3,159,1
five_resource,10,3,87,1
five_resource,11,3,115,1
five_resource,12,1,145,1
five_resource,13,2,130,1
five_resource,14,3,103,1
five_resource,15,1,61,1
five_resource,16,3,187,1
five_resource,17,3,115,1
five_resource,18,1,81,1
five_resource,19,1,137,1
five_resource,20,3,135,1
five_resource,21,2,102,1
five_resource,22,2,186,1
five_resource,23,1,157,1
five_resource,24,1,93,1
five_resource,25,1,113,1
five_resource,26,2,126,1
five_resource,27,3,103,1
five_resource,28,2,86,1
five_resource,29,4,120,1
five_resource,30,1,153,1
five_resource,31,4,156,1
five_resource,32,2,122,1
five_resource,33,2,154,1
five_resource,34,1,213,1
five_resource,35,3,67,1
five_resource,36,3,131,1
five_resource,37,3,123,1
five_resource,38,1,133,1
five_resource,39,4,120,1
five_resource,40,2,130,1
five_resource,41,3,99,1
five_resource,42,2,142,1
five_resource,43,2,106,1
five_resource,44,1,97,1
five_resource,45,2,126,1
five_resource,46,2,154,1
five_resource,47,2,138,1
five_resource,48,1,181,1
five_resource,49,3,127,1
five_resource,50,4,104,1
five_resource,51,4,120,1
five_resource,52,2,110,1
five_resource,53,3,123,1
five_resource,54,4,120,1
five_resource,55,1,141,1
five_resource,56,3,131,1
five_resource,57,3,119,1
five_resource,58,1,105,1
five_resource,59,3,123,1
five_resource,60,1,121,1
five_resource,61,2,86,1
five_resource,62,3,139,1
five_resource,63,2,94,1
five_resource,64,1,125,1
five_resource,65,3,127,1
five_resource,66,1,121,1
five_resource,67,3,127,1
five_resource,68,2,98,1
five_resource,69,3,135,1
five_resource,70,3,159,1
five_resource,71,4,96,1
five_resource,72,3,111,1
five_resource,73,1,141,1
five_resource,74,2,150,1
five_resource,75,2,142,1
five_resource,76,2,186,1
five_resource,77,4,124,1
five_resource,78,3,91,1
five_resource,79,4,144,1
five_resource,80,4,40,1
five_resource,81,1,141,1
five_resource,82,3,95,1
five_resource,83,4,156,1
five_resource,84,1,69,1
five_resource,85,3,143,1
five_resource,86,2,134,1
five_resource,87,2,110,1
five_resource,88,4,120,1
five_resource,89,3,75,1
five_resource,90,3,139,1
five_resource,91,3,151,1
five_resource,92,3,175,1
five_resource,93,1,145,1
five_resource,94,1,97,1
five_resource,95,2,110,1
five_resource,96,3,183,1
five_resource,97,3,191,1
five_resource,98,2,114,1
five_resource,99,4,60,1
port,0,1,97,1
port,1,2,118,1
port,2,4,120,1
port,3,4,104,1
port,4,1,149,1
port,5,2,90,1
port,6,1,157,1
port,7,4,92,1
port,8,2,98,1
port,9,4,108,1
port,10,4,92,1
port,11,3,147,1
port,12,4,128,1
port,13,3,99,1
port,14,4,156,1
port,15,1,169,1
port,16,2,126,1
