strategy,seed,seat,winner,game_turns,first_road_global,first_road_own,first_settlement_global,first_settlement_own,first_city_global,first_city_own,first_dev_global,first_dev_own,first_lr_global,first_lr_own,first_la_global,first_la_own
full_ows,0,1,0,146,53,14,,,105,27,41,11,,,,
full_ows,0,2,1,146,2,1,78,20,102,26,18,5,26,7,,
full_ows,0,3,0,146,39,10,,,143,36,3,1,,,51,13
full_ows,0,4,0,146,16,4,,,,,4,1,,,64,16
full_ows,1,1,0,122,1,1,105,27,49,13,61,16,,,,
full_ows,1,2,1,122,2,1,82,21,14,4,58,15,58,15,,
full_ows,1,3,0,122,39,10,,,31,8,7,2,,,39,10
full_ows,1,4,0,122,52,13,,,100,25,4,1,56,14,,
full_ows,2,1,0,83,5,2,,,41,11,5,2,,,,
full_ows,2,2,0,83,18,5,,,74,19,22,6,,,66,17
full_ows,2,3,1,83,3,1,31,8,59,15,11,3,19,5,83,21
full_ows,2,4,0,83,8,2,,,,,36,9,,,,
full_ows,3,1,0,100,1,1,85,22,93,24,21,6,,,,
full_ows,3,2,0,100,62,16,86,22,98,25,26,7,,,,
full_ows,3,3,0,100,19,5,67,17,,,3,1,23,6,51,13
full_ows,3,4,1,100,36,9,96,24,28,7,8,2,,,68,17
full_ows,4,1,1,101,13,4,85,22,69,18,9,3,25,7,97,25
full_ows,4,2,0,101,18,5,,,,,18,5,,,66,17
full_ows,4,3,0,101,11,3,47,12,,,55,14,87,22,,
full_ows,4,4,0,101,64,16,,,80,20,16,4,,,,
full_ows,5,1,0,99,29,8,,,9,3,29,8,,,,
full_ows,5,2,0,99,86,22,,,78,20,10,3,,,,
full_ows,5,3,1,99,3,1,75,19,99,25,7,2,43,11,47,12
full_ows,5,4,0,99,4,1,,,,,24,6,,,,
full_ows,6,1,0,119,9,3,,,,,53,14,,,,
full_ows,6,2,0,119,106,27,,,,,50,13,,,,
full_ows,6,3,1,119,3,1,43,11,111,28,59,15,27,7,,
full_ows,6,4,0,119,48,12,,,8,2,20,5,,,60,15
full_ows,7,1,0,108,9,3,89,23,9,3,5,2,,,,
full_ows,7,2,0,108,30,8,,,,,18,5,,,42,11
full_ows,7,3,0,108,23,6,107,27,19,5,47,12,51,13,,
full_ows,7,4,1,108,4,1,104,26,32,8,8,2,80,20,,
full_ows,8,1,0,160,25,7,,,89,23,9,3,105,27,,
full_ows,8,2,0,160,10,3,,,,,42,11,,,,
full_ows,8,3,0,160,71,18,,,91,23,7,2,,,103,26
full_ows,8,4,1,160,4,1,140,35,84,21,4,1,40,10,80,20
full_ows,9,1,0,179,61,16,157,40,153,39,9,3,,,109,28
full_ows,9,2,0,179,82,21,,,22,6,10,3,,,,
full_ows,9,3,1,179,3,1,115,29,159,40,39,10,19,5,,
full_ows,9,4,0,179,4,1,76,19,,,8,2,,,72,18
full_ows,10,1,0,146,101,26,141,36,33,9,1,1,,,,
full_ows,10,2,1,146,2,1,122,31,26,7,62,16,14,4,,
full_ows,10,3,0,146,55,14,143,36,115,29,11,3,,,27,7
full_ows,10,4,0,146,4,1,68,17,120,30,20,5,,,,
full_ows,11,1,0,80,49,13,,,,,13,4,,,,
full_ows,11,2,0,80,2,1,,,,,34,9,22,6,,
full_ows,11,3,0,80,27,7,,,,,15,4,,,,
full_ows,11,4,1,80,36,9,60,15,48,12,4,1,,,80,20
full_ows,12,1,0,88,5,2,,,29,8,65,17,,,,
full_ows,12,2,0,88,34,9,,,,,18,5,,,42,11
full_ows,12,3,0,88,3,1,,,,,31,8,27,7,,
full_ows,12,4,1,88,16,4,84,21,48,12,4,1,56,14,,
full_ows,13,1,0,64,17,5,17,5,9,3,5,2,,,,
