strategy,seat,games,win_rate,first_road_own,first_road_own_rate,first_settlement_own,first_settlement_own_rate,first_city_own,first_city_own_rate,first_dev_own,first_dev_own_rate,first_lr_own,first_lr_own_rate,first_la_own,first_la_own_rate
full_ows,1,100,0.28,7.530612244897959,0.98,24.157894736842106,0.57,15.7012987012987,0.77,6.01,1.0,17.38888888888889,0.36,15.878787878787879,0.33
full_ows,2,100,0.17,7.329896907216495,0.97,24.456521739130434,0.46,15.318181818181818,0.66,6.06,1.0,15.710526315789474,0.38,12.392857142857142,0.28
full_ows,3,100,0.28,7.648936170212766,0.94,22.245283018867923,0.53,17.944444444444443,0.72,5.101010101010101,0.99,14.166666666666666,0.48,13.54054054054054,0.37
full_ows,4,100,0.27,7.898989898989899,0.99,22.0188679245283,0.53,16.916666666666668,0.72,3.95,1.0,13.957446808510639,0.47,14.238095238095237,0.42
hybrid_ows,1,100,0.33,4.6020408163265305,0.98,22.94736842105263,0.57,16.141025641025642,0.78,5.546391752577319,0.97,12.770833333333334,0.48,13.526315789473685,0.38
hybrid_ows,2,100,0.19,4.854166666666667,0.96,23.32075471698113,0.53,17.08695652173913,0.69,4.8686868686868685,0.99,12.8,0.35,13.392857142857142,0.28
hybrid_ows,3,100,0.22,5.353535353535354,0.99,21.574074074074073,0.54,17.708333333333332,0.72,4.282828282828283,0.99,11.911111111111111,0.45,12.714285714285714,0.35
hybrid_ows,4,100,0.26,5.4646464646464645,0.99,21.24137931034483,0.58,15,0.65,5.343434343434343,0.99,12.390243902439025,0.41,12.657894736842104,0.38
road_building,1,100,0.35,2.65,1.0,18.47252747252747,0.91,24.1864406779661,0.59,11.347368421052632,0.95,11.59016393442623,0.61,,0.0
road_building,2,100,0.17,3.09,1.0,17.76829268292683,0.82,24.695652173913043,0.46,12.505376344086022,0.93,12.779661016949152,0.59,,0.0
road_building,3,100,0.31,3.21,1.0,17.9375,0.8,23.033898305084747,0.59,11.466666666666667,0.9,12.75438596491228,0.57,,0.0
road_building,4,100,0.17,3.09,1.0,18.0375,0.8,26.463414634146343,0.41,9.224719101123595,0.89,13.317073170731707,0.41,,0.0
roads_and_cities,1,100,0.24,4.222222222222222,0.99,20.573333333333334,0.75,14.8625,0.8,8.49438202247191,0.89,13.214285714285714,0.42,,0.0
roads_and_cities,2,100,0.25,3.9797979797979797,0.99,18.774647887323944,0.71,17.0375,0.8,7.75,0.96,12.872727272727273,0.55,,0.0
roads_and_cities,3,100,0.27,3.9,1.0,19.063291139240505,0.79,15.333333333333334,0.81,6.311827956989247,0.93,12.365853658536585,0.41,,0.0
roads_and_cities,4,100,0.24,4.07,1.0,17.453333333333333,0.75,14.893333333333333,0.75,6.141304347826087,0.92,11.076923076923077,0.65,,0.0
five_resource,1,100,0.29,4.653061224489796,0.98,15.972972972972974,0.74,16.073529411764707,0.68,5.757894736842105,0.95,11.659574468085106,0.47,,0.0
five_resource,2,100,0.26,4.23469387755102,0.98,18.386666666666667,0.75,15.830769230769231,0.65,6.085106382978723,0.94,12,0.44,,0.0
five_resource,3,100,0.25,3.9292929292929295,0.99,16.558823529411764,0.68,16.406779661016948,0.59,5.896907216494846,0.97,11.333333333333334,0.54,,0.0
five_resource,4,100,0.2,4.333333333333333,0.99,15.573770491803279,0.61,17.825396825396826,0.63,5.442105263157894,0.95,11.346938775510203,0.49,,0.0
port,1,100,0.17,3.36,1.0,18.1625,0.8,21.918367346938776,0.49,10.178947368421053,0.95,10.446808510638299,0.47,,0.0
port,2,100,0.26,3.08,1.0,15.880952380952381,0.84,22.0188679245283,0.53,9.096774193548388,0.93,8.291666666666666,0.48,,0.0
port,3,100,0.27,2.84,1.0,15.379746835443038,0.79,23.372549019607842,0.51,10.725274725274724,0.91,8.8125,0.48,,0.0
port,4,100,0.3,3.04,1.0,15.066666666666666,0.75,20.94,0.5,8.989247311827956,0.93,13.244444444444444,0.45,,0.0
