seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
0,0,0,0,0,4,4,0,6,6,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,1.5426062922924757,1.5144678745418787,-0.028138417750597
1,1,0,0,0,8,8,0,6,6,0,2,2,0,2,2,0,5,5,0,0,0,0,0,0,0,1.5187885826453567,1.5179990828037262,-0.0007894998416304588
2,2,1,1,0,10,10,0,8,8,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,1.142416249960661,1.1475898325443268,0.005173582583665848
3,3,0,0,0,9,9,0,12,12,0,5,5,0,0,0,0,3,3,0,1,1,0,0,0,0,2.2129789162427187,2.1566952085122466,-0.05628370773047209
4,0,1,1,0,10,10,0,7,7,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,1.5804620003327727,1.5714725824072957,-0.008989417925477028
5,1,0,0,0,9,9,0,13,13,0,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,3.3582336250692606,3.383026707917452,0.02479308284819126
6,2,0,0,0,8,8,0,11,11,0,3,3,0,2,2,0,3,3,0,0,0,0,0,0,0,2.1558258328586817,2.035866708494723,-0.11995912436395884
7,3,0,0,0,7,7,0,9,9,0,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,2.11008904222399,1.8679073322564363,-0.24218170996755362
8,0,1,1,0,10,10,0,9,9,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,1.9467699155211449,1.9361189575865865,-0.010650957934558392
9,1,0,0,0,9,9,0,9,9,0,3,3,0,3,3,0,6,6,0,0,0,0,0,0,0,2.560807917267084,2.5795272076502442,0.018719290383160114
10,2,1,1,0,10,10,0,9,9,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,2.0153622096404433,2.0015393337234855,-0.013822875916957855
11,3,1,1,0,10,10,0,14,14,0,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,3.5745214158669114,3.5761401671916246,0.0016187513247132301
12,0,1,1,0,10,10,0,6,6,0,1,1,0,4,4,0,6,6,0,0,0,0,0,0,0,2.6778804594650865,2.6999220000579953,0.02204154059290886
13,1,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.0582876661792397,2.0624355003237724,0.0041478341445326805
14,2,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,7,7,0,0,0,0,0,0,0,2.300960958003998,2.391612791456282,0.09065183345228434
15,3,1,1,0,10,10,0,7,7,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,1.817252834327519,1.8072671247646213,-0.009985709562897682
16,0,0,0,0,4,4,0,4,4,0,4,4,0,0,0,0,5,5,0,0,0,0,0,0,0,1.5458786245435476,1.5406452910974622,-0.005233333446085453
17,1,1,1,0,10,10,0,13,13,0,5,5,0,1,1,0,2,2,0,1,1,0,0,0,0,2.6937875831499696,2.708164875395596,0.01437729224562645
18,2,0,0,0,4,4,0,10,10,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,2.00648208335042,1.9954467080533504,-0.01103537529706955
19,3,1,1,0,10,10,0,10,10,0,4,4,0,2,2,0,7,7,0,0,0,0,0,0,0,2.243840499781072,2.2184234587475657,-0.025417041033506393
20,0,0,1,1,8,10,2,4,9,5,0,1,1,4,4,0,6,5,-1,0,0,0,0,0,0,2.198656708933413,3.163117166608572,0.964460457675159
21,1,1,1,0,10,10,0,7,7,0,2,2,0,4,4,0,6,6,0,0,0,0,0,0,0,2.626529583707452,2.6320157926529646,0.005486208945512772
22,2,0,0,0,6,6,0,8,8,0,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,1.422476957552135,1.4152525421231985,-0.0072244154289364815
23,3,0,0,0,5,5,0,3,3,0,2,2,0,1,1,0,3,3,0,0,0,0,0,0,0,1.0690712500363588,1.077059875242412,0.007988625206053257
24,0,0,0,0,5,5,0,8,8,0,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,1.3465614151209593,1.3465259168297052,-3.549829125404358e-05
25,1,0,0,0,9,9,0,15,15,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,3.450308875180781,4.03364441730082,0.5833355421200395
26,2,0,0,0,7,7,0,7,7,0,2,2,0,2,2,0,3,3,0,0,0,0,0,0,0,1.5458091665059328,1.5403704158961773,-0.005438750609755516
27,3,1,1,0,10,10,0,11,11,0,2,2,0,4,4,0,5,5,0,0,0,0,0,0,0,3.240028750151396,3.2659201668575406,0.02589141670614481
28,0,0,0,0,4,5,1,5,10,5,3,5,2,0,0,0,6,5,-1,0,0,0,0,0,0,1.780335083603859,2.4202931663021445,0.6399580826982856
29,1,0,0,0,8,8,0,9,9,0,4,4,0,1,1,0,2,2,0,1,1,0,0,0,0,2.291334791108966,2.2916666250675917,0.00033183395862579346
30,2,0,0,0,9,9,0,7,7,0,2,2,0,3,3,0,4,4,0,0,0,0,0,0,0,2.2445811247453094,2.222605749964714,-0.021975374780595303
31,3,0,0,0,7,7,0,4,4,0,1,1,0,3,3,0,4,4,0,0,0,0,0,0,0,1.7116434583440423,1.7315922500565648,0.019948791712522507
32,0,0,0,0,6,6,0,6,6,0,3,3,0,1,1,0,5,5,0,0,0,0,0,0,0,1.548171792179346,1.5459955427795649,-0.002176249399781227
33,1,0,0,0,8,8,0,5,5,0,1,1,0,3,3,0,5,5,0,0,0,0,0,0,0,1.6100299581885338,1.5953051652759314,-0.014724792912602425
34,2,0,0,0,6,6,0,6,6,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,1.4975033337250352,1.5130189582705498,0.015515624545514584
35,3,1,1,0,10,10,0,9,9,0,3,3,0,3,3,0,4,4,0,0,0,0,0,0,0,2.675484917126596,2.6258465414866805,-0.049638375639915466
36,0,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,7,7,0,0,0,0,0,0,0,1.9706225423142314,1.9733230415731668,0.0027004992589354515
37,1,0,0,0,8,8,0,11,11,0,4,4,0,2,2,0,1,1,0,0,0,0,0,0,0,2.56951866671443,2.7200557086616755,0.1505370419472456
38,2,0,0,0,7,7,0,10,10,0,5,5,0,0,0,0,3,3,0,1,1,0,0,0,0,2.6538437912240624,2.023902832530439,-0.6299409586936235
39,3,0,0,0,5,5,0,7,7,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,1.7743478333577514,1.7348547913134098,-0.039493042044341564
40,0,1,1,0,10,10,0,5,5,0,0,0,0,3,3,0,6,6,0,1,1,0,0,0,0,0.7236741669476032,0.7327655414119363,0.009091374464333057
41,1,1,1,0,10,10,0,7,7,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,2.0553597500547767,2.030302249826491,-0.02505750022828579
42,2,1,1,0,10,10,0,8,8,0,5,5,0,0,0,0,5,5,0,1,1,0,0,0,0,1.1316395001485944,1.1344542494043708,0.0028147492557764053
43,3,1,1,0,10,10,0,10,10,0,5,5,0,2,2,0,5,5,0,0,0,0,0,0,0,2.0436749579384923,2.049502999521792,0.005828041583299637
44,0,1,1,0,10,10,0,8,8,0,0,0,0,4,4,0,5,5,0,0,0,0,0,0,0,1.8577257078140974,1.8185263751074672,-0.03919933270663023
45,1,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,5,5,0,1,1,0,0,0,0,1.8372127078473568,3.5749666253104806,1.7377539174631238
46,2,1,1,0,10,10,0,10,10,0,4,4,0,2,2,0,4,4,0,0,0,0,0,0,0,2.429394541308284,2.30100916698575,-0.1283853743225336
47,3,0,0,0,8,8,0,8,8,0,5,5,0,1,1,0,4,4,0,0,0,0,0,0,0,2.3664838345721364,2.3736104164272547,0.007126581855118275
48,0,0,0,0,8,8,0,6,6,0,4,4,0,1,1,0,5,5,0,0,0,0,0,0,0,1.595403166487813,1.5802952079102397,-0.0151079585775733
49,1,1,1,0,10,10,0,12,13,1,4,4,0,1,2,1,5,8,3,1,0,-1,0,0,0,1.8927609585225582,3.7942146249115467,1.9014536663889885
50,2,0,0,0,5,5,0,7,7,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1.1765851667150855,1.1901912093162537,0.013606042601168156
51,3,0,0,0,9,9,0,9,9,0,4,4,0,2,2,0,1,1,0,0,0,0,0,0,0,1.942036708816886,1.9179447079077363,-0.024092000909149647
52,0,1,1,0,10,10,0,11,11,0,4,4,0,2,2,0,2,2,0,1,1,0,0,0,0,1.4380111256614327,1.4005989572033286,-0.037412168458104134
