variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
yop_off,0,0,0,4,6,4,0,4,0,0,1.5426062922924757
yop_on,0,0,0,4,6,4,0,4,0,0,1.5144678745418787
yop_off,1,1,0,8,6,2,2,5,0,0,1.5187885826453567
yop_on,1,1,0,8,6,2,2,5,0,0,1.5179990828037262
yop_off,2,2,1,10,8,5,1,1,1,0,1.142416249960661
yop_on,2,2,1,10,8,5,1,1,1,0,1.1475898325443268
yop_off,3,3,0,9,12,5,0,3,1,0,2.2129789162427187
yop_on,3,3,0,9,12,5,0,3,1,0,2.1566952085122466
yop_off,4,0,1,10,7,3,3,2,0,0,1.5804620003327727
yop_on,4,0,1,10,7,3,3,2,0,0,1.5714725824072957
yop_off,5,1,0,9,13,5,2,3,0,0,3.3582336250692606
yop_on,5,1,0,9,13,5,2,3,0,0,3.383026707917452
yop_off,6,2,0,8,11,3,2,3,0,0,2.1558258328586817
yop_on,6,2,0,8,11,3,2,3,0,0,2.035866708494723
yop_off,7,3,0,7,9,4,1,4,0,0,2.11008904222399
yop_on,7,3,0,7,9,4,1,4,0,0,1.8679073322564363
yop_off,8,0,1,10,9,2,4,1,0,0,1.9467699155211449
yop_on,8,0,1,10,9,2,4,1,0,0,1.9361189575865865
yop_off,9,1,0,9,9,3,3,6,0,0,2.560807917267084
yop_on,9,1,0,9,9,3,3,6,0,0,2.5795272076502442
yop_off,10,2,1,10,9,2,4,1,0,0,2.0153622096404433
yop_on,10,2,1,10,9,2,4,1,0,0,2.0015393337234855
yop_off,11,3,1,10,14,4,2,3,1,0,3.5745214158669114
yop_on,11,3,1,10,14,4,2,3,1,0,3.5761401671916246
yop_off,12,0,1,10,6,1,4,6,0,0,2.6778804594650865
yop_on,12,0,1,10,6,1,4,6,0,0,2.6999220000579953
yop_off,13,1,1,10,12,5,1,4,1,0,2.0582876661792397
yop_on,13,1,1,10,12,5,1,4,1,0,2.0624355003237724
yop_off,14,2,1,10,10,5,1,7,0,0,2.300960958003998
yop_on,14,2,1,10,10,5,1,7,0,0,2.391612791456282
yop_off,15,3,1,10,7,0,4,3,0,0,1.817252834327519
yop_on,15,3,1,10,7,0,4,3,0,0,1.8072671247646213
yop_off,16,0,0,4,4,4,0,5,0,0,1.5458786245435476
yop_on,16,0,0,4,4,4,0,5,0,0,1.5406452910974622
yop_off,17,1,1,10,13,5,1,2,1,0,2.6937875831499696
yop_on,17,1,1,10,13,5,1,2,1,0,2.708164875395596
yop_off,18,2,0,4,10,4,0,3,0,0,2.00648208335042
yop_on,18,2,0,4,10,4,0,3,0,0,1.9954467080533504
yop_off,19,3,1,10,10,4,2,7,0,0,2.243840499781072
yop_on,19,3,1,10,10,4,2,7,0,0,2.2184234587475657
yop_off,20,0,0,8,4,0,4,6,0,0,2.198656708933413
yop_on,20,0,1,10,9,1,4,5,0,0,3.163117166608572
yop_off,21,1,1,10,7,2,4,6,0,0,2.626529583707452
yop_on,21,1,1,10,7,2,4,6,0,0,2.6320157926529646
yop_off,22,2,0,6,8,5,0,2,0,0,1.422476957552135
yop_on,22,2,0,6,8,5,0,2,0,0,1.4152525421231985
yop_off,23,3,0,5,3,2,1,3,0,0,1.0690712500363588
yop_on,23,3,0,5,3,2,1,3,0,0,1.077059875242412
yop_off,24,0,0,5,8,5,0,2,0,0,1.3465614151209593
yop_on,24,0,0,5,8,5,0,2,0,0,1.3465259168297052
yop_off,25,1,0,9,15,5,1,1,1,0,3.450308875180781
yop_on,25,1,0,9,15,5,1,1,1,0,4.03364441730082
yop_off,26,2,0,7,7,2,2,3,0,0,1.5458091665059328
yop_on,26,2,0,7,7,2,2,3,0,0,1.5403704158961773
yop_off,27,3,1,10,11,2,4,5,0,0,3.240028750151396
yop_on,27,3,1,10,11,2,4,5,0,0,3.2659201668575406
yop_off,28,0,0,4,5,3,0,6,0,0,1.780335083603859
yop_on,28,0,0,5,10,5,0,5,0,0,2.4202931663021445
yop_off,29,1,0,8,9,4,1,2,1,0,2.291334791108966
yop_on,29,1,0,8,9,4,1,2,1,0,2.2916666250675917
yop_off,30,2,0,9,7,2,3,4,0,0,2.2445811247453094
yop_on,30,2,0,9,7,2,3,4,0,0,2.222605749964714
yop_off,31,3,0,7,4,1,3,4,0,0,1.7116434583440423
yop_on,31,3,0,7,4,1,3,4,0,0,1.7315922500565648
yop_off,32,0,0,6,6,3,1,5,0,0,1.548171792179346
