seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
0,0,0,0,0,4,4,0,6,6,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,1.5640627089887857,1.588284082710743,0.024221373721957207
1,1,0,0,0,8,6,-2,6,9,3,2,4,2,2,0,-2,5,6,1,0,0,0,0,0,0,1.5784689169377089,1.6910687079653144,0.11259979102760553
2,2,1,1,0,10,10,0,8,11,3,5,5,0,1,1,0,1,4,3,1,1,0,0,0,0,1.1964753745123744,2.0552881248295307,0.8588127503171563
3,3,0,0,0,9,9,0,12,12,0,5,5,0,0,0,0,3,3,0,1,1,0,0,0,0,2.2926850831136107,2.4580220002681017,0.16533691715449095
4,0,1,1,0,10,10,0,7,7,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,1.7882529171183705,1.794121915474534,0.005868998356163502
5,1,0,0,0,9,9,0,13,13,0,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,3.7674152916297317,3.6280579175800085,-0.13935737404972315
6,2,0,0,0,8,8,0,11,11,0,3,3,0,2,2,0,3,3,0,0,0,0,0,0,0,2.094319832511246,2.173891667276621,0.07957183476537466
7,3,0,0,0,7,7,0,9,9,0,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,1.9425651663914323,1.961215834133327,0.018650667741894722
8,0,1,1,0,10,10,0,9,9,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,2.0419441666454077,2.1109858341515064,0.06904166750609875
9,1,0,1,1,9,10,1,9,11,2,3,4,1,3,3,0,6,6,0,0,0,0,0,0,0,2.5354048339650035,2.2106930408626795,-0.324711793102324
10,2,1,1,0,10,10,0,9,9,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,2.021020374260843,2.2355033745989203,0.21448300033807755
11,3,1,1,0,10,10,0,14,14,0,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,3.485073291696608,3.414152625016868,-0.07092066667973995
12,0,1,1,0,10,10,0,6,6,0,1,1,0,4,4,0,6,6,0,0,0,0,0,0,0,2.66019279230386,2.6577509995549917,-0.0024417927488684654
13,1,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.0207404997199774,2.0268742498010397,0.006133750081062317
14,2,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,7,7,0,0,0,0,0,0,0,2.313585916534066,2.268159791827202,-0.04542612470686436
15,3,1,1,0,10,10,0,7,7,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,1.7372312089428306,1.7564022494480014,0.019171040505170822
16,0,0,0,0,4,4,0,4,4,0,4,4,0,0,0,0,5,5,0,0,0,0,0,0,0,1.5525361662730575,1.5320939999073744,-0.02044216636568308
17,1,1,1,0,10,10,0,13,13,0,5,5,0,1,1,0,2,2,0,1,1,0,0,0,0,2.7244907496497035,2.719802583567798,-0.004688166081905365
18,2,0,0,0,4,4,0,10,10,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,2.008539124391973,2.0075170416384935,-0.0010220827534794807
19,3,1,1,0,10,10,0,10,10,0,4,4,0,2,2,0,7,7,0,0,0,0,0,0,0,2.2863227920606732,2.2631836654618382,-0.02313912659883499
20,0,0,1,1,8,10,2,4,9,5,0,1,1,4,4,0,6,5,-1,0,0,0,0,0,0,2.2870185831561685,3.1949042920023203,0.9078857088461518
21,1,1,1,0,10,10,0,7,7,0,2,2,0,4,4,0,6,6,0,0,0,0,0,0,0,2.6672431249171495,2.5899484995752573,-0.07729462534189224
22,2,0,0,0,6,6,0,8,8,0,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,1.3859998332336545,1.4165956256911159,0.030595792457461357
23,3,0,0,0,5,5,0,3,3,0,2,2,0,1,1,0,3,3,0,0,0,0,0,0,0,1.0535107078030705,1.0565550001338124,0.0030442923307418823
24,0,0,0,0,5,5,0,8,8,0,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,1.338498167693615,1.3332621669396758,-0.005236000753939152
25,1,0,0,0,9,9,0,15,15,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,3.5065053328871727,3.352831957861781,-0.15367337502539158
26,2,0,0,0,7,7,0,7,7,0,2,2,0,2,2,0,3,3,0,0,0,0,0,0,0,1.5302217500284314,1.5093130003660917,-0.020908749662339687
27,3,1,1,0,10,10,0,11,11,0,2,2,0,4,4,0,5,5,0,0,0,0,0,0,0,3.1850270004943013,3.3008047081530094,0.1157777076587081
28,0,0,0,0,4,5,1,5,10,5,3,5,2,0,0,0,6,5,-1,0,0,0,0,0,0,1.8331161243841052,2.6430957494303584,0.8099796250462532
29,1,0,0,0,8,8,0,9,9,0,4,4,0,1,1,0,2,2,0,1,1,0,0,0,0,2.266787750646472,2.271897000260651,0.005109249614179134
30,2,0,0,0,9,9,0,7,7,0,2,2,0,3,3,0,4,4,0,0,0,0,0,0,0,2.2159451246261597,2.2114898338913918,-0.004455290734767914
31,3,0,0,0,7,6,-1,4,4,0,1,3,2,3,1,-2,4,4,0,0,0,0,0,0,0,1.7437577908858657,1.650256915949285,-0.09350087493658066
32,0,0,0,0,6,6,0,6,6,0,3,3,0,1,1,0,5,3,-2,0,0,0,0,0,0,1.4999324157834053,1.5506437923759222,0.0507113765925169
33,1,0,0,0,8,9,1,5,5,0,1,0,-1,3,4,1,5,4,-1,0,0,0,0,0,0,1.5683165835216641,1.802854709327221,0.23453812580555677
34,2,0,0,0,6,4,-2,6,6,0,0,2,2,3,1,-2,1,3,2,0,0,0,0,0,0,1.5021689161658287,1.819079540669918,0.31691062450408936
35,3,1,0,-1,10,8,-2,9,12,3,3,4,1,3,0,-3,4,3,-1,0,1,1,0,0,0,2.652585541829467,1.731289959512651,-0.9212955823168159
36,0,1,1,0,10,10,0,10,12,2,5,5,0,1,2,1,7,6,-1,0,0,0,0,0,0,1.9715057080611587,2.66370049957186,0.6921947915107012
37,1,0,0,0,8,9,1,11,15,4,4,5,1,2,1,-1,1,2,1,0,1,1,0,0,0,2.4862687503919005,2.85921816714108,0.37294941674917936
38,2,0,0,0,7,7,0,10,10,0,5,5,0,0,0,0,3,3,0,1,1,0,0,0,0,2.0678504584357142,2.054316708818078,-0.013533749617636204
39,3,0,0,0,5,5,0,7,7,0,5,4,-1,0,0,0,3,4,1,0,0,0,0,0,0,1.741544833406806,1.7282715840265155,-0.013273249380290508
40,0,1,1,0,10,10,0,5,5,0,0,0,0,3,3,0,6,6,0,1,1,0,0,0,0,0.699541499838233,0.7256014160811901,0.026059916242957115
41,1,1,1,0,10,10,0,7,7,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,1.9838789589703083,2.0961151653900743,0.11223620641976595
42,2,1,1,0,10,10,0,8,8,0,5,5,0,0,0,0,5,5,0,1,1,0,0,0,0,1.1117512499913573,1.103369583375752,-0.008381666615605354
43,3,1,1,0,10,10,0,10,8,-2,5,3,-2,2,3,1,5,5,0,0,0,0,0,0,0,1.9950601253658533,2.2570317508652806,0.2619716254994273
44,0,1,1,0,10,10,0,8,8,0,0,0,0,4,4,0,5,5,0,0,0,0,0,0,0,1.8032095832750201,1.7837870419025421,-0.01942254137247801
