variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
yop_off,0,0,0,4,6,4,0,4,0,0,1.5640627089887857
yop_on,0,0,0,4,6,4,0,4,0,0,1.588284082710743
yop_off,1,1,0,8,6,2,2,5,0,0,1.5784689169377089
yop_on,1,1,0,6,9,4,0,6,0,0,1.6910687079653144
yop_off,2,2,1,10,8,5,1,1,1,0,1.1964753745123744
yop_on,2,2,1,10,11,5,1,4,1,0,2.0552881248295307
yop_off,3,3,0,9,12,5,0,3,1,0,2.2926850831136107
yop_on,3,3,0,9,12,5,0,3,1,0,2.4580220002681017
yop_off,4,0,1,10,7,3,3,2,0,0,1.7882529171183705
yop_on,4,0,1,10,7,3,3,2,0,0,1.794121915474534
yop_off,5,1,0,9,13,5,2,3,0,0,3.7674152916297317
yop_on,5,1,0,9,13,5,2,3,0,0,3.6280579175800085
yop_off,6,2,0,8,11,3,2,3,0,0,2.094319832511246
yop_on,6,2,0,8,11,3,2,3,0,0,2.173891667276621
yop_off,7,3,0,7,9,4,1,4,0,0,1.9425651663914323
yop_on,7,3,0,7,9,4,1,4,0,0,1.961215834133327
yop_off,8,0,1,10,9,2,4,1,0,0,2.0419441666454077
yop_on,8,0,1,10,9,2,4,1,0,0,2.1109858341515064
yop_off,9,1,0,9,9,3,3,6,0,0,2.5354048339650035
yop_on,9,1,1,10,11,4,3,6,0,0,2.2106930408626795
yop_off,10,2,1,10,9,2,4,1,0,0,2.021020374260843
yop_on,10,2,1,10,9,2,4,1,0,0,2.2355033745989203
yop_off,11,3,1,10,14,4,2,3,1,0,3.485073291696608
yop_on,11,3,1,10,14,4,2,3,1,0,3.414152625016868
yop_off,12,0,1,10,6,1,4,6,0,0,2.66019279230386
yop_on,12,0,1,10,6,1,4,6,0,0,2.6577509995549917
yop_off,13,1,1,10,12,5,1,4,1,0,2.0207404997199774
yop_on,13,1,1,10,12,5,1,4,1,0,2.0268742498010397
yop_off,14,2,1,10,10,5,1,7,0,0,2.313585916534066
yop_on,14,2,1,10,10,5,1,7,0,0,2.268159791827202
yop_off,15,3,1,10,7,0,4,3,0,0,1.7372312089428306
yop_on,15,3,1,10,7,0,4,3,0,0,1.7564022494480014
yop_off,16,0,0,4,4,4,0,5,0,0,1.5525361662730575
yop_on,16,0,0,4,4,4,0,5,0,0,1.5320939999073744
yop_off,17,1,1,10,13,5,1,2,1,0,2.7244907496497035
yop_on,17,1,1,10,13,5,1,2,1,0,2.719802583567798
yop_off,18,2,0,4,10,4,0,3,0,0,2.008539124391973
yop_on,18,2,0,4,10,4,0,3,0,0,2.0075170416384935
yop_off,19,3,1,10,10,4,2,7,0,0,2.2863227920606732
yop_on,19,3,1,10,10,4,2,7,0,0,2.2631836654618382
yop_off,20,0,0,8,4,0,4,6,0,0,2.2870185831561685
yop_on,20,0,1,10,9,1,4,5,0,0,3.1949042920023203
yop_off,21,1,1,10,7,2,4,6,0,0,2.6672431249171495
yop_on,21,1,1,10,7,2,4,6,0,0,2.5899484995752573
yop_off,22,2,0,6,8,5,0,2,0,0,1.3859998332336545
yop_on,22,2,0,6,8,5,0,2,0,0,1.4165956256911159
yop_off,23,3,0,5,3,2,1,3,0,0,1.0535107078030705
yop_on,23,3,0,5,3,2,1,3,0,0,1.0565550001338124
yop_off,24,0,0,5,8,5,0,2,0,0,1.338498167693615
yop_on,24,0,0,5,8,5,0,2,0,0,1.3332621669396758
yop_off,25,1,0,9,15,5,1,1,1,0,3.5065053328871727
yop_on,25,1,0,9,15,5,1,1,1,0,3.352831957861781
yop_off,26,2,0,7,7,2,2,3,0,0,1.5302217500284314
yop_on,26,2,0,7,7,2,2,3,0,0,1.5093130003660917
yop_off,27,3,1,10,11,2,4,5,0,0,3.1850270004943013
yop_on,27,3,1,10,11,2,4,5,0,0,3.3008047081530094
yop_off,28,0,0,4,5,3,0,6,0,0,1.8331161243841052
yop_on,28,0,0,5,10,5,0,5,0,0,2.6430957494303584
yop_off,29,1,0,8,9,4,1,2,1,0,2.266787750646472
yop_on,29,1,0,8,9,4,1,2,1,0,2.271897000260651
yop_off,30,2,0,9,7,2,3,4,0,0,2.2159451246261597
yop_on,30,2,0,9,7,2,3,4,0,0,2.2114898338913918
yop_off,31,3,0,7,4,1,3,4,0,0,1.7437577908858657
yop_on,31,3,0,6,4,3,1,4,0,0,1.650256915949285
yop_off,32,0,0,6,6,3,1,5,0,0,1.4999324157834053
yop_on,32,0,0,6,6,3,1,3,0,0,1.5506437923759222
yop_off,33,1,0,8,5,1,3,5,0,0,1.5683165835216641
yop_on,33,1,0,9,5,0,4,4,0,0,1.802854709327221
yop_off,34,2,0,6,6,0,3,1,0,0,1.5021689161658287
yop_on,34,2,0,4,6,2,1,3,0,0,1.819079540669918
yop_off,35,3,1,10,9,3,3,4,0,0,2.652585541829467
yop_on,35,3,0,8,12,4,0,3,1,0,1.731289959512651
yop_off,36,0,1,10,10,5,1,7,0,0,1.9715057080611587
yop_on,36,0,1,10,12,5,2,6,0,0,2.66370049957186
yop_off,37,1,0,8,11,4,2,1,0,0,2.4862687503919005
yop_on,37,1,0,9,15,5,1,2,1,0,2.85921816714108
yop_off,38,2,0,7,10,5,0,3,1,0,2.0678504584357142
yop_on,38,2,0,7,10,5,0,3,1,0,2.054316708818078
yop_off,39,3,0,5,7,5,0,3,0,0,1.741544833406806
yop_on,39,3,0,5,7,4,0,4,0,0,1.7282715840265155
yop_off,40,0,1,10,5,0,3,6,1,0,0.699541499838233
yop_on,40,0,1,10,5,0,3,6,1,0,0.7256014160811901
yop_off,41,1,1,10,7,4,2,6,0,0,1.9838789589703083
yop_on,41,1,1,10,7,4,2,6,0,0,2.0961151653900743
yop_off,42,2,1,10,8,5,0,5,1,0,1.1117512499913573
yop_on,42,2,1,10,8,5,0,5,1,0,1.103369583375752
yop_off,43,3,1,10,10,5,2,5,0,0,1.9950601253658533
yop_on,43,3,1,10,8,3,3,5,0,0,2.2570317508652806
yop_off,44,0,1,10,8,0,4,5,0,0,1.8032095832750201
yop_on,44,0,1,10,8,0,4,5,0,0,1.7837870419025421
yop_off,45,1,1,10,12,5,1,5,1,0,1.7961889579892159
yop_on,45,1,1,10,12,5,1,5,1,0,3.423250333406031
yop_off,46,2,1,10,10,4,2,4,0,0,2.2639500834047794
yop_on,46,2,1,10,10,4,2,4,0,0,2.2619771659374237
yop_off,47,3,0,8,8,5,1,4,0,0,2.318094457499683
yop_on,47,3,0,8,8,5,1,4,0,0,2.2301114592701197
yop_off,48,0,0,8,6,4,1,5,0,0,1.5443691248074174
yop_on,48,0,1,10,6,2,3,5,0,0,2.3120905002579093
yop_off,49,1,1,10,12,4,1,5,1,0,1.8406254574656487
yop_on,49,1,1,10,13,4,2,8,0,0,3.6862265840172768
yop_off,50,2,0,5,7,1,2,1,0,0,1.1405931245535612
yop_on,50,2,0,5,7,1,2,1,0,0,1.136148332618177
yop_off,51,3,0,9,9,4,2,1,0,0,1.8846001252532005
yop_on,51,3,0,9,9,4,2,1,0,0,1.9003851665183902
yop_off,52,0,1,10,11,4,2,2,1,0,1.2984570413827896
yop_on,52,0,1,10,11,2,3,1,1,0,1.3720630407333374
yop_off,53,1,0,6,11,5,0,4,0,0,1.9158424166962504
yop_on,53,1,0,6,11,5,0,4,0,0,1.913597292266786
yop_off,54,2,0,6,3,1,2,7,0,0,1.3943676250055432
yop_on,54,2,0,9,8,3,2,5,0,0,2.200017041526735
yop_off,55,3,1,10,14,4,2,4,1,0,2.344533583149314
yop_on,55,3,1,10,14,4,2,4,1,0,2.9692602921277285
yop_off,56,0,0,6,10,5,0,4,0,0,1.7516830414533615
yop_on,56,0,0,6,10,5,0,4,0,0,1.7151117091998458
yop_off,57,1,0,7,3,1,2,7,0,0,1.882043250836432
yop_on,57,1,0,7,3,1,2,7,0,0,1.9032470835372806
yop_off,58,2,0,6,7,2,2,5,0,0,2.0987630002200603
yop_on,58,2,0,6,7,2,2,5,0,0,2.0710779577493668
yop_off,59,3,1,10,13,5,1,2,1,0,1.9944305000826716
yop_on,59,3,1,10,13,5,1,2,1,0,1.9661668743938208
yop_off,60,0,0,7,12,4,1,4,0,0,2.1413237918168306
yop_on,60,0,0,9,11,3,2,5,0,0,2.768300083465874
yop_off,61,1,0,7,6,4,1,4,0,0,1.6010107081383467
yop_on,61,1,0,7,6,4,1,4,0,0,1.5826600836589932
yop_off,62,2,0,7,10,3,2,1,0,0,2.7142361672595143
yop_on,62,2,0,7,10,3,2,1,0,0,2.6207412919029593
yop_off,63,3,0,6,3,0,3,2,0,0,1.248536167666316
yop_on,63,3,0,6,3,0,3,2,0,0,1.6802300829440355
yop_off,64,0,0,7,5,2,2,4,0,0,2.1064079999923706
yop_on,64,0,0,7,5,2,2,4,0,0,2.0974899996072054
yop_off,65,1,0,8,7,2,3,1,0,0,2.0567228756844997
yop_on,65,1,0,8,7,2,3,1,0,0,2.0400447910651565
yop_off,66,2,0,5,5,4,0,6,0,0,1.7482842085883021
yop_on,66,2,0,5,5,4,0,6,0,0,1.7007526252418756
yop_off,67,3,1,10,15,3,2,5,1,0,2.796320208348334
yop_on,67,3,1,10,15,3,2,5,1,0,3.0842980416491628
yop_off,68,0,1,10,8,3,2,6,0,0,2.27832075022161
yop_on,68,0,1,10,8,3,2,6,0,0,2.2596388747915626
yop_off,69,1,0,9,8,0,4,4,0,0,2.465905542485416
yop_on,69,1,0,7,3,0,3,6,0,0,2.1619638334959745
yop_off,70,2,1,10,7,1,3,5,0,0,2.3281462928280234
yop_on,70,2,1,10,7,1,3,5,0,0,2.4715521661564708
yop_off,71,3,1,10,7,3,2,4,0,0,1.7891816664487123
yop_on,71,3,1,10,7,3,2,4,0,0,2.6214709589257836
yop_off,72,0,1,10,7,1,4,4,0,0,2.0080042080953717
yop_on,72,0,1,10,7,1,4,4,0,0,2.0476019997149706
yop_off,73,1,0,7,9,5,0,6,0,0,1.6210801247507334
yop_on,73,1,0,7,9,5,0,6,0,0,1.6128817088901997
yop_off,74,2,0,6,7,3,1,5,0,0,1.5817960826680064
yop_on,74,2,0,3,7,3,0,3,0,0,1.521567165851593
yop_off,75,3,1,10,10,4,2,3,1,0,2.028521333821118
yop_on,75,3,1,10,11,4,2,2,1,0,2.873864999972284
yop_off,76,0,0,5,7,5,0,1,0,0,2.718590500764549
yop_on,76,0,0,5,7,5,0,1,0,0,2.691287875175476
yop_off,77,1,0,5,6,4,0,6,0,0,1.734122666530311
yop_on,77,1,0,5,6,4,0,6,0,0,1.750289000570774
yop_off,78,2,1,10,10,1,4,4,0,0,2.0809990419074893
yop_on,78,2,1,10,10,1,4,4,0,0,2.4044772926717997
yop_off,79,3,1,10,10,5,1,2,1,0,1.4707248331978917
yop_on,79,3,1,10,10,5,1,2,1,0,1.833995041437447
yop_off,80,0,1,10,7,1,4,5,0,0,2.917401666752994
yop_on,80,0,1,10,7,1,4,5,0,0,2.931426708586514
yop_off,81,1,0,7,5,0,3,6,0,0,1.6880726665258408
yop_on,81,1,0,7,5,0,3,6,0,0,1.7080200826749206
yop_off,82,2,1,10,12,5,1,3,1,0,2.2765021668747067
yop_on,82,2,0,6,7,3,1,1,0,0,1.0133623331785202
